"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"HKB0125_3006_T"	9.62356786305055e-15	9.62356786305055e-15	9.62356786305055e-15	9.62356786305055e-15	0.0519747098862375	0.0962224808156299	0.0303482485828046
"HKB0127_3006_T"	0.051921777384918	0.308915171075986	1.43972053335445e-14	1.43972053335445e-14	0.0119231901693664	1.43972053335445e-14	0.0312806077630649
"HKB0129_3000_T"	0.103704394700413	0.312037918563107	0.0320626785437277	0.100865198753506	0.0550060380799402	0.0966398021872735	0.0399224070928963
"HKB0132_3006_T"	0.0427187881387705	0.123727018626303	0.0166349071202472	1.10654955523765e-14	0.0433618127049148	0.0107583144743191	0.209572960089852
"HKB0134_3006_T"	0.190487369978862	0.128645093200666	0.0640218778342399	1.05570604750233e-14	0.0718464944768101	0.0549438759888056	1.05570604750233e-14
"HKB0137_3002_T"	0.204930127535366	0.0496813393188437	0.00681070433120036	1.0887302019911e-14	0.0258838885631204	0.0660787365213567	0.0404900863970465
"HKB0141_3006_T"	0.00451073272354003	0.0520592863371325	0.0871620624234712	1.71343489141108e-14	0.0762113507645941	0.0469304884926112	1.71343489141108e-14
"HKB0143_3006_T"	0.13963532181164	0.120720029916471	0.127517320843458	1.31887868159757e-14	1.31887868159757e-14	0.00437210008138214	0.0163540458095977
"HKB0147_3000_T"	1.19428517045996e-14	0.00328118768455847	0.0867201383307318	1.19428517045996e-14	0.104439724006027	0.0322792296955801	0.00804091961175464
"HKB0150_3006_T"	8.31724221662611e-15	0.00525891551669096	8.31724221662611e-15	8.31724221662611e-15	0.00208212506974931	0.0249736707812877	8.31724221662611e-15
"HKB0155_3000_T"	0.0545747202121837	0.234951952087197	0.0680824638879392	0.0219249416902516	0.0317038355329152	0.0281798128419832	0.033490246307327
"HKB0157_3006_T"	0.022799158615427	0.0904339049971285	0.0102945822692294	1.23043678974863e-14	0.0992680962242284	0.0197570535914194	0.0871711736397811
"HKB0158_3006_T"	0.0295657644106009	0.0684084097139018	0.241734512084252	0.00200429833230801	0.0358013864250091	0.0960390794672521	0.0291246697066808
"HKB0159_3006_T"	0.0225074575112528	0.000525018802814333	0.0458740354190208	0.00638080390217533	0.0392115767511507	0.220773980922127	0.0205178989697809
