"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"HKB0096_3001_T"	6.82036097307334e-15	6.82036097307334e-15	6.82036097307334e-15	6.82036097307334e-15	0.107776653330451	0.127487147096306
"HKB0097_3000_T"	0.0135726989576713	1.20153020662475e-14	1.20153020662475e-14	1.20153020662475e-14	0.139403628711428	0.169055691624951
"HKB0098_3005_T"	0.134676832916327	1.13533191873976e-14	0.236166189766378	0.249295995152876	0.249513173203569	0.0541398742686091
"HKB0100_3006_T"	0.0897562060486216	7.51541374115835e-15	0.108687357521871	0.00379433718368633	0.067926122391486	0.0937946053916634
"HKB0101_3000_T"	1.20787205943599e-14	1.20787205943599e-14	0.217451588914477	0.0108131144227764	0.176055841124919	0.372910791542261
"HKB0102_3006_T"	1.28964247597211e-14	1.28964247597211e-14	0.0212915324058807	3.13439709260522e-14	0.165082087249407	0.319604602576775
"HKB0104_3006_T"	6.19542841703487e-15	6.19542841703487e-15	6.19542841703487e-15	6.19542841703487e-15	0.112466046642595	0.215953004360717
"HKB0106_3006_T"	0.0553946712511071	1.01514981753275e-14	8.61934564720855e-13	1.46964583970263e-06	0.300853368222305	0.112481797245753
"HKB0108_3000_T"	7.43635087675509e-15	7.43635087675509e-15	7.43635087675509e-15	0.0713217453288278	0.187028414247317	0.15845987806513
"HKB0109_3006_T"	8.41669323227908e-15	8.41669323227908e-15	8.41669323227908e-15	0.0564380906790173	0.137004857365762	0.141541342395168
"HKB0115_3006_T"	0.0488523337858195	1.07727661486615e-14	0.00415876370590019	0.11935755714579	0.431496943407901	0.0529943720702823
"HKB0120_3000_T"	0.025541547037114	0.204981965489222	0.347778101945535	0.19525352391791	0.226444821102757	4.05074392016354e-08
"HKB0121_3006_T"	9.64635583457521e-15	9.64635583457521e-15	9.64635583457521e-15	0.0969061650303861	0.0261388090335503	0.167889460635126
"HKB0123_3006_T"	1.0384548665167e-14	1.0384548665167e-14	0.0730078952696655	0.00652505796705374	0.229044973783401	0.262393023310065
"HKB0124_3003_T"	0.0620352389905777	6.55148716714789e-11	0.0754076900383016	1.38203446403432e-14	0.319453275025497	0.193347727854555
"HKB0125_3006_T"	0.280467238479978	7.59413718377844e-15	0.157481315282867	0.178544704742735	0.131637255735303	1.61943315956514e-12
"HKB0127_3006_T"	0.0135699645525837	1.31952650369679e-14	1.31952650369679e-14	0.108555943613234	0.301591441702368	0.104654827627061
"HKB0129_3000_T"	0.0789041114586378	0.292441381313697	0.111826362086648	0.00284430418685137	0.36410366995752	0.117574922004183
"HKB0132_3006_T"	0.107128978016854	1.01390026590567e-14	1.01390026590567e-14	1.12034127673034e-06	0.161685145303301	0.0992842953043246
"HKB0134_3006_T"	0.512398501002866	7.79589734693508e-15	0.0649740057144339	0.264767826879913	7.79589734693508e-15	0.0111914452928898
"HKB0137_3002_T"	9.94551016609287e-15	9.94551016609287e-15	1.94207148024735e-09	0.28877969133458	0.173055948930716	0.211728598705073
"HKB0141_3006_T"	0.0161973754981575	1.36626648092743e-14	0.178007769158324	1.36626648092743e-14	0.193748910925489	0.208629016120836
"HKB0143_3006_T"	0.031924350521516	1.15336661514393e-14	0.176047508373586	0.286178895667058	0.094328948434909	0.257726233281308
"HKB0147_3000_T"	0.0140448865042718	8.35225164622836e-15	0.0151352235284399	0.00408476643938378	0.0923140707983329	0.305225616487599
"HKB0150_3006_T"	6.40494304492479e-15	6.40494304492479e-15	6.40494304492479e-15	0.014107137892013	0.016634916937067	0.197041431756331
"HKB0155_3000_T"	1.29013236811585e-14	0.0262372859219156	0.17376145696519	0.0739195495886937	0.196962084276712	0.258096326842868
"HKB0157_3006_T"	0.440390004558341	8.60985312138469e-15	0.0449050253383364	0.0332298970229697	8.60985312138469e-15	0.0949285207396775
"HKB0158_3006_T"	0.107537964693541	0.0212404413740566	0.210918959591938	0.169755953884574	0.457736500631571	0.0275459410445645
"HKB0159_3006_T"	0.00767055854161641	9.7250460273672e-15	0.0731839739013615	0.12730918208934	0.210477482688526	0.266959384918728
"HKB0160_3000_T"	0.00631880833803411	0.578194767056338	0.00478056264247181	1.01005361778863e-14	0.0105865775782284	0.0547009985534321
"HKB0161_3001_T"	0.693323806450284	0.0510809026725383	0.0934806364502615	7.16379017771775e-15	0.152931727985105	0.00918292505128728
"HKB0162_3006_T"	0.193677773400393	1.17715023423747e-14	0.00011422901362528	0.260758391473294	0.264891932109108	0.157403619082978
