"BC_HKB0915_M1647_T"	"BC_HKB2107_1620_T"	"HKB0036_3006_T"	"HKB0211_3002_T"	"BC_HKB0892_1559_T"	"BC_HKB0922_1579_T"	"BC_HKB1366_1663_T"	"BC_HKB1372_1697_T"	"BC_HKB2113_1657_T"	"HKB0023_3006_T"	"HKB0092_3000_T"	"HKB0132_3006_T"	"HKB0143_3006_T"	"HKB0147_3000_T"	"HKB0207_3001_T"	"BC_HKB0543_1306_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0899_M1605_T"	"BC_HKB0921_1575_T"	"BC_HKB1385_1721_T"	"BC_HKB2116_1671_T"	"HKB0007_3005_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0088_3000_T"	"HKB0091_3001_T"	"HKB0098_3005_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0214_3006_T"	"HKB0228_3002_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0112_933_T"	"BC_HKB0215_1134_T"	"BC_HKB0555_1321_T"	"BC_HKB0729_1445_T"	"BC_HKB0733_1459_T"	"BC_HKB0759_1488_T"	"BC_HKB0828_M1542_T"	"BC_HKB0830_1541_T"	"BC_HKB0834_1553_T"	"BC_HKB0838_1563_T"	"BC_HKB0902_1617_T"	"BC_HKB0906_1627_T"	"BC_HKB0917_1656_T"	"BC_HKB1370_1673_T"	"BC_HKB2112_1636_T"	"BC_HKB2119_1690_T"	"BC_HKB2127_1726_T"	"HKB0050_3005_T"	"HKB0137_3002_T"	"HKB0210_3006_T"	"HKB0579_3000_T"	"HKB0698_3000_T"	"BC_HKB0632_1381_T"	"BC_HKB0689_M1326_T"	"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0728_1447_T"	"BC_HKB0738_1475_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB2106_1619_T"	"HKB0008_3006_T"	"HKB0033_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0070_3002_T"	"HKB0074_3000_T"	"HKB0094_3006_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0129_3000_T"	"HKB0141_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0164_3006_T"	"HKB0168_3006_T"	"HKB0186_3000_T"	"HKB0208_3006_T"	"HKB0220_3000_T"	"HKB0552_3000_T"	"HKB0564_3000_T"	"HKB0573_3000_T"	"HKB0665_3000_T"	"HKB0719_3002_T"	"HKB0737_3000_T"	"BC_HKB0056_809_T"	"BC_HKB0662_1294_T"	"BC_HKB0775_1470_T"	"BC_HKB0876_1543_T"	"BC_HKB0895_1582_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0065_3006_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0182_3006_T"	"HKB0626_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0677_3000_T"
"HTR3E"	1.4541758931858	2.29278174922785	0.124328135002202	0.0976107966264223	0	0	0.678071905112638	0.545968369105292	1.31614574229336	0	0.0285691521967709	0	0	0	0	0	1.18269229751619	2.30451104180995	0	1.15055967657538	0	2.790772037862	0	0	0	0.0285691521967709	0.22650852980868	0.0285691521967709	0	0	0	0	0	0	0.070389327891398	0	0	0.0426443374084937	0	0.0285691521967709	0	0	0	0	3.11603199344711	1.17632277264046	0.855989697308481	0	1.95977015521147	2.24488705912353	1.61823865559545	0	0.887525270741587	1.47508488294878	1.41142624572647	0	2.03562390973072	0.956056652412403	1.90303827011291	2.99638874644762	2.08065766334523	0	0	0.137503523749935	0	0	2.94860084749336	1.50589092972996	0	0	0.678071905112638	0	0	0	0	2.11769504266975	1.54596836910529	0.773996325111173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0.739848102699327	2.05311133645956	1.41683974191283	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0
"C1S"	5.26978123827438	5.27388882366849	7.20799043323296	6.53558643635484	7.03848007993665	4.74846123300404	4.0746766862945	4.48413813120167	5.28281043957256	7.10423180898138	6.56102057782927	4.90014226035982	7.00326490881749	5.59991284218713	7.82336724004624	7.1606782132205	6.55182359572126	5.70791125418517	7.816023639828	6.39369076418745	5.79545527204412	5.72437742160622	7.07103324445682	7.67630972700068	5.82883464946806	6.41683974191283	7.37911839859756	7.40854204229686	6.96786027116915	7.4088816597751	6.56285295958392	8.12122266984196	7.49008872394347	7.60110220337641	6.99322146736894	6.72478667744771	5.51032901949057	8.5274770060604	7.90183230578549	9.19910791495018	7.07371314090838	6.94532677726463	7.24088671380497	6.70210340662939	5.87479696589866	6.46287031226445	4.89287670006069	6.48976769700826	5.38681094647222	4.88947354253111	5.48123434952853	5.5270077606372	2.69821847822441	6.17592374206376	5.88093036107688	5.15177765473205	6.31542131594578	3.88264304936184	4.87184364850932	4.02236781302845	4.16832111573972	6.02834813418931	6.39900014826113	6.68229237143083	7.79279029430106	7.31279221689375	6.05680026314344	5.69376571221778	7.5385381636298	7.25408377931942	6.63995564505617	5.02724253597374	6.44145028021684	6.00741978357191	7.14067642036902	7.05777516691354	7.32237886665822	4.60050764534579	6.70348834965682	6.73538678289534	7.3231899010884	7.40113551326553	7.48542682717024	7.52097219082549	7.05148086534133	4.93310047493137	7.83364912759498	6.35807972334892	7.80174068785487	6.62716906084185	7.40590729260185	6.50446149653458	7.28410691122874	6.91552090075196	7.40964550691874	7.38862007672802	6.45285896471381	6.75608924737322	8.40373638573547	7.26575567602733	7.1003469613581	6.85623875989708	7.4281088831793	7.73226919950145	7.45926766670339	7.05582470013486	7.39025495632187	4.67072705449947	6.33019983285091	5.29351763041742	5.93946167836279	5.25209770303744	6.48880418737256	5.90592847817314	7.1378108834161	7.7790626892054	6.49521546352043	7.24583788960736	6.18229502502548	7.30587934677885	5.58436125251871	5.16309613843601	5.999774561287	6.52497259828663
"GRIP2"	0	0	0.933572638261024	0.454175893185802	0.485426827170242	0	0.464668267003444	0.594548549550354	0.495695162624069	0.516015147003665	0.55581615506164	0.176322772640463	0.411426245726465	0.0565835283663675	0.613531652917927	0.356143810225275	0	0.815575428862573	2.25701061820602	0.389566811762726	0	0	0.516015147003665	0.799087306074004	0.333423733725192	0.7311832415722	0.659924558402378	0.545968369105292	0.687060688339892	0.839959587489532	0.37851162325373	0.321928094887362	0.704871964456353	0.6959938131099	0.55581615506164	0.321928094887362	0.214124805352847	0.831877241191673	0.713695814843359	1.33342373372519	0.367371065648529	0.333423733725192	0.37851162325373	0.286881147788162	0	0	0	0	0	0.475084882948783	0.432959407276106	0.53605290024021	0	0	0	0	0.613531652917927	0	0	0	0	0.27500704749987	0.298658315564515	1.68257329734758	0.20163386116965	0.214124805352847	0	0	0	1.06350294230616	0	0.485426827170242	0	0	0	0	0.948600847493356	0	0.400537929583729	0.150559676575381	0.526068811667588	0.356143810225275	0.367371065648529	0.584962500721156	0.298658315564515	0.411426245726465	0.22650852980868	0.16349873228288	0.070389327891398	0.286881147788162	0.613531652917927	0.137503523749935	0.389566811762726	0.748461233004036	0.344828496997441	0.485426827170242	0.27500704749987	0.495695162624069	0.823749360308273	0.454175893185802	0.298658315564515	0.31034012061215	0.773996325111173	0.565597175854225	0.22650852980868	0.632268215499513	0.464668267003444	0	0	0	0	0.713695814843359	0.879705766282288	0.400537929583729	0.748461233004036	1.23266075679027	0.613531652917927	0.704871964456353	0.238786859587116	0.238786859587116	0.263034405833794	0.111031312388744	0.22650852980868	0.0976107966264223
"CR1L"	0	0	0.0840642647884745	0.16349873228288	0	0	0	0	0	0.0426443374084937	0.070389327891398	0.22650852980868	0.0840642647884745	0.0565835283663675	0.0840642647884745	1.58496250072116	0	0	0	0	0	1.11103131238874	0.20163386116965	0.565597175854225	0.20163386116965	0	0.137503523749935	0.124328135002202	0.400537929583729	0.389566811762726	0.250961573533219	0.31034012061215	0.238786859587116	0.604071323668861	0.176322772640463	0	0.238786859587116	0.650764559116902	0.641546029087524	0.799087306074004	0.333423733725192	0.344828496997441	0.356143810225275	0.298658315564515	0	0	0	0	0	0	0	0	0	0	0	0.505890929729957	0	0	0	0	0	0.367371065648529	0.189033824390017	0.454175893185802	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0.137503523749935	0.0426443374084937	0.20163386116965	0.0840642647884745	0.0976107966264223	0.124328135002202	0	0.0976107966264223	0.189033824390017	0.124328135002202	0.0840642647884745	0	0.400537929583729	0	0.150559676575381	0.150559676575381	0.389566811762726	0	0.0840642647884745	0.0426443374084937	0.137503523749935	0.0565835283663675	0.214124805352847	0.111031312388744	0	0.20163386116965	0	0.0976107966264223	0.214124805352847	0	0	0	0	0	0.070389327891398	0.0976107966264223	0.22650852980868	0.124328135002202	0.111031312388744	0.0840642647884745	0	0.111031312388744	0	0	0.263034405833794	0.0285691521967709
"IL27"	0	0	0.713695814843359	0	0	0	0	0	0	0.137503523749935	0.263034405833794	0.20163386116965	0.214124805352847	0.0976107966264223	0	0	0	0	1.09085343045111	1.13093086982645	0	0	0.37851162325373	0.55581615506164	0.6959938131099	0.545968369105292	0.765534746362977	0.400537929583729	0.495695162624069	0.55581615506164	0.22650852980868	0.432959407276106	0.505890929729957	0.871843648509318	0.516015147003665	0.432959407276106	0.411426245726465	0.333423733725192	0.356143810225275	0.782408564927373	0.903038270112912	0.0976107966264223	0.070389327891398	0.124328135002202	0	0	0	0	0	0	0	0	0	1.70929063572336	0	0	1.58496250072116	0	2.12101540096137	0	0	0.22650852980868	0.150559676575381	0.070389327891398	0	0.0565835283663675	0	0	0	0	0	0	0	1.89530262133331	0	0	0	0	0.286881147788162	0.124328135002202	0.400537929583729	0.137503523749935	0.298658315564515	0.584962500721156	0.111031312388744	0.124328135002202	0.0840642647884745	0.0565835283663675	0.0840642647884745	0.189033824390017	0.0840642647884745	0	0.879705766282288	0	0.0840642647884745	0.0840642647884745	0.214124805352847	0	0	0.0840642647884745	0.454175893185802	0	0	0.454175893185802	0	0.250961573533219	0.27500704749987	0	0	1.31034012061215	0	0	0.31034012061215	0.333423733725192	0.214124805352847	0.137503523749935	0	0.22650852980868	0.189033824390017	0.111031312388744	0.070389327891398	0.238786859587116	0.0565835283663675	0.344828496997441
"C1QA"	4.89287670006069	4.5915597458278	6.81365294595797	6.11186596386756	7.34793135415142	4.91408609701272	4.70043971814109	4.44161626940656	7.04930403348226	6.0524593691181	6.06501215043695	5.93922657772821	7.45425816131463	5.73606362787181	7.41599522099608	8.9602626365306	7.59141014298214	7.19869058566892	9.41869594960205	6.51159454153741	8.77820857639809	7.58345891013077	7.32786697140204	8.57072855433289	7.61955973778249	7.65985322084749	7.63154086734149	7.28540221886225	7.97848166870967	7.44194819050336	6.8251496026602	8.04286317624712	7.78306371004598	9.38844787631711	7.90809234081827	6.28946563095822	6.08193608171943	8.01245693628882	8.63346753884266	9.13535017064689	7.80438919853563	8.21776387190864	7.72860081064319	8.56670101222984	6.25983740058951	5.77899700616954	5.90038381666693	5.27537959625362	5.48864353985378	6.38801728534513	5.98299357469431	5.27463440251759	5.37573453858316	6.00629802390037	5.86492897228979	5.44128427192704	6.14445431392619	5.11852584893567	5.85049941375812	4.23419472295381	3.55336050333533	7.60821785302146	7.631686366312	6.87676249078156	7.01580529391335	6.54550510069107	6.69988472869748	5.73876783680019	8.48498396775894	6.98253731439927	7.75515464317727	5.15299460549244	6.74389191093657	6.4517056653563	6.96497614914012	6.5630055530624	8.35698009141037	5.02236781302845	6.86839045305445	6.83567147948162	6.61632828755145	7.04886827268732	6.88178695937053	7.6398833131998	7.99542798583254	7.47816289273763	6.8073549220576	6.72041528490633	7.45030398982412	5.11270013274936	5.9371089462026	5.66817586897014	7.08140354506251	6.73822740036724	6.97819562968165	5.3437631221496	7.00663464339423	5.57228336665041	7.7189780307796	5.67129337248158	7.83187724119167	6.89384755813292	5.68481873755322	7.51711818515321	5.84874811461196	5.90544717873885	6.56939994847322	6.29700794927485	5.92409988564074	6.20672135743089	6.69501944235684	5.96069703930431	6.64038956005495	6.07831095000713	6.53449743373817	6.91444493174679	4.77557736093065	7.48960715674871	6.13175409098481	5.39814511650441	5.91862475557459	5.83466065790173	6.5234051328555	6.75702324650746
"HLA.B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IL17F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250961573533219	0	0	0	0	0	0	0	0	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0.16349873228288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KIR2DS4"	0	0	0	0.176322772640463	0	0	0	0	0	0	0.263034405833794	0	0	0.176322772640463	0.250961573533219	0	0	0	0	0	0	2.36737106564853	0.111031312388744	0.903038270112912	0.214124805352847	0	0.137503523749935	0.333423733725192	0.411426245726465	0.0285691521967709	0.111031312388744	0.505890929729957	0.0426443374084937	0.443606651475615	0.895302621333307	0.286881147788162	0	0.594548549550354	0.84799690655495	0.111031312388744	0.111031312388744	0.526068811667588	0.367371065648529	0.678071905112638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0976107966264223	0.0426443374084937	0.176322772640463	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263034405833794	0.516015147003665	0.495695162624069	0	0.111031312388744	0.0565835283663675	0.070389327891398	0.0426443374084937	0	0.321928094887362	0	0.137503523749935	0.0426443374084937	0	0.0565835283663675	0	0	0.0976107966264223	0.124328135002202	0.0426443374084937	0	0.454175893185802	0.0840642647884745	0	0	0.27500704749987	0	0	0	0	0	0	0	0.0426443374084937	0.0976107966264223	0	0.214124805352847	0.137503523749935	0	0	0	0.111031312388744	0
"OASL"	2.16671544496642	0	6.07574653806091	1.91838623444635	1.49569516262407	1.39506279951758	0	1.08406426478847	2.46205231879643	3.13093086982645	2.46727948045998	2.45154083301783	3.59693514238723	2.51349074558812	3.67581593117227	2.29865831556452	1.85199883711245	2.74200621086674	5.06004738366994	3.29130885982897	3.03210084316702	1.15055967657538	4.92647391125607	4.69097573834328	3.48542682717024	5.60940039000643	6.31885910596865	3.23112515787905	5.71561885907482	3.0232553523003	4.53791724903408	3.31903981556254	5.30961277245412	3.90303827011291	6.26528685756517	3.69265037003553	6.6623479388146	5.85847839042327	4.56803210477128	6.13852780142227	3.25398926623079	3.23572705983806	4.30158764660319	2.85798099512757	3.20789285164133	1.83995958748953	0	2.01077983875324	2.22650852980868	3.48284828306847	2.18586654531133	2.07382023329167	0.903038270112912	0	1.43829285157915	1.86789646399265	0	0	0.75702324650746	0	0.765534746362977	3.48155728070859	3.99548451887751	2.14404636961671	2.67129337248158	4.36246988875021	0.871843648509318	0.799087306074004	0.799087306074004	0.782408564927373	2.42492208821069	1.31614574229336	0	0	2.05658352836637	0	0	1.29278174922785	3.00180224263399	1.77820857639809	4.0241423458978	1.81966818349646	2.46466826700344	4.87823487911234	1.11769504266975	3.83592407425437	2.24184018356467	2.22958792274065	3.1554254317472	1.56071495447448	1.74416109557041	1.60880924267552	2.88557436437143	5.47508488294878	2.01792190799726	2.75915583380027	1.95233356636969	1.75274859140713	3.20789285164133	2.50842865253186	3.14893410452634	2.70487196445635	1.87184364850932	4.84649331596456	2.24488705912353	1.68257329734758	4.48607074373567	3.32624970083746	3.16510798514454	0.941106310946431	1.6507645591169	0.815575428862573	5.01435529297707	5.23916887866545	4.81301154860562	3.57167680997093	2.8011586560937	2.10768786931437	1.81147103052984	1.85996954822103	2.37016428054021	2.66220549965362	3.58976348698498	2.69821847822441
"CD97"	1.56071495447448	1.44360665147561	3.34056226902641	3.27351588970212	3.01613970265525	1.16349873228288	2.35614381022528	0.970853654340484	2.46466826700344	3.11270013274936	3.1586601753465	2.83592407425437	3.52105073690096	1.87970576628229	3.16027483140859	5.33985000288462	3.74631276642546	3.97177344719337	5.90544717873885	3.30012372456901	4.18586654531133	2.83592407425437	3.74631276642546	5.82298501854688	4.51159454153741	3.71369581484336	4.30158764660319	4.70984201927331	4.56559717585422	4.52356195605701	4.0866139474095	4.57046293102604	4.25323293853803	5.78214642355464	4.18269229751619	3.78555055173926	2.877744249949	3.99457972421575	5.2364926183813	4.59454854955035	3.61353165291793	5.43862553808838	4.12350066435096	4.48220292629596	2.03562390973072	1.44890095114513	2.44890095114513	2.12101540096137	2.43562859405209	2.72465027173297	1.97819562968165	3.09085343045111	2.7311832415722	1.96716860753263	1.82374936030827	2.11769504266975	1.36737106564853	2.55090066464752	1.34482849699744	0.613531652917927	0.432959407276106	4.11186596386756	3.83693401132109	4.76712507726907	3.13093086982645	2.4276061727819	3.19534759832222	1.52606881166759	4.27202318906105	3.31469652565629	2.99276843076892	2.18269229751619	3.1554254317472	2.26303440583379	3.88362081628567	2.60407132366886	4.9387562614923	2.51349074558812	3.54349588342577	3.00180224263399	3.36737106564853	4.06608919045777	3.62175885670973	4.36806987653208	5.00135189299996	3.53231695933277	4.02147972741045	3.69821847822441	4.67129337248158	2.36457243229586	3.76128527336162	2.41413553298445	4.28688114778816	3.63459326844576	3.74631276642546	3.72900887033786	3.35191096110308	3.46074256378964	4.79129314859221	2.89141918684608	4.22419466397043	2.72465027173297	3.38128337250378	3.78764141448333	3.16349873228288	2.50080205305716	3.02856915219677	2.85798099512757	2.98002530023873	3.23572705983806	2.26603689399532	2.48542682717024	3.46597446450407	4.52669484554198	4.08915913191124	4.51664555778096	4.71369581484336	4.53356334821451	3.21101219348551	3.73009646559547	4.19219416528334	1.80322703643493	3.09592441999854	3.79285535236249
"KIR2DL3"	0	0	0.070389327891398	0	0	0	0	0	0	0	0.111031312388744	0.22650852980868	0	0	0.389566811762726	0	0	0	0	0	0	0	0.150559676575381	0.070389327891398	0.6959938131099	0.189033824390017	0.356143810225275	0.389566811762726	0.687060688339892	0.070389327891398	0	0.0976107966264223	0.150559676575381	1.14404636961671	0.53605290024021	0.16349873228288	0	0.137503523749935	0.344828496997441	0.189033824390017	0.16349873228288	0.27500704749987	0.356143810225275	0.545968369105292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20163386116965	0	0.0565835283663675	0	0	1.02147972741045	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0.0976107966264223	0	0.0565835283663675	0.16349873228288	0.298658315564515	0	0	0.16349873228288	0.0840642647884745	0.150559676575381	0	0.214124805352847	0.0565835283663675	0	0.298658315564515	0.150559676575381	0	0	0	0.0565835283663675	0.070389327891398	0	0	0.124328135002202	0	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0.0976107966264223	0	0.214124805352847	0.0143552929770701	0	0.137503523749935	0.0426443374084937	0	0
"GZMA"	0	0	1.84398384404833	2.77399632511117	0	0	0	0	2.6667565918848	2.53106949272595	1.54596836910529	1.85598969730848	3.32192809488736	1.40599235967584	4.62117275268344	3.99457972421575	3.06350294230616	3.98185265328974	3.17951105027151	2.75915583380027	2.86195536414487	0	2.89141918684608	5.63110428236588	3.99457972421575	2.98732086592925	3.41006969175638	4.21412480535285	4.56193705962243	3.45549162062847	3.18428029441938	3.78764141448333	3.11603199344711	5.24412594328373	3.91169158187234	3.64038956005495	1.77399632511117	5.01435529297707	4.69097573834328	5.47053686509258	4.58976348698498	6.29535569289167	4.76075320806299	4.94860084749336	2.82374936030827	1.42223300068305	0	0	0	1.40599235967584	0	3.98002530023873	0	1.89530262133331	2.27500704749987	2.28983446517751	0	4.03298241669943	0	0	1.91073266190291	4.34837407519116	3.10601323762212	1.61823865559545	3.84096670448742	2.91456452349394	2.54101915313356	0	0	2.08746284125034	0	0	0	0	0	0	0	0	2.65992455840238	2.26603689399532	2.17632277264046	2.114367024952	3.59693514238723	3.96069703930431	1.71808758396052	1.92219784839637	4.1906148602095	3.64385618977472	3.13914201914569	1.37295209791183	3.87872534148011	2.97636363573276	3.62058641045188	2.54101915313356	2.56315813040281	2.62993940943954	2	2.29278174922785	4.3037807481771	3.01077983875324	4.44890095114513	2.67807190511264	1.83592407425437	4.11519974938544	0.7311832415722	2.95233356636969	2.76765479823735	0	1.49569516262407	2.19219416528334	3.21256933885081	0	1.89141918684608	1.99638874644762	1.18903382439002	2.8094144442359	0.37851162325373	3.50462039240355	2.67129337248158	1.95233356636969	2.11769504266975	1.30451104180995	4.53543091487128	2.27202318906105
"C17orf66"	0	2.51853513898218	0	0.0565835283663675	0.823749360308273	0	0	0.956056652412403	2.89141918684608	0	0.0426443374084937	0	0	0.0285691521967709	0.070389327891398	1.0703893278914	0	1.37295209791183	2.20789285164133	1.51096191927738	0	3.02680005934372	0.0285691521967709	0.20163386116965	0.0285691521967709	0.0285691521967709	0.070389327891398	0	0.070389327891398	0.0285691521967709	0	0.0565835283663675	0	0.0426443374084937	0.070389327891398	0	0.0285691521967709	0	0.238786859587116	0.0285691521967709	0.0565835283663675	0.111031312388744	0.0976107966264223	0.0840642647884745	1.44360665147561	1.48026512205446	0.948600847493356	0	0	1.6507645591169	0.765534746362977	0	2.54843662469604	0.678071905112638	2.59215800212536	1.07724299893246	1.03562390973072	1.38956681176273	1.65535182861255	1.86789646399265	1.46988597627446	0.150559676575381	0.0840642647884745	0.070389327891398	0.111031312388744	0	0.75702324650746	3.17951105027151	0	0.773996325111173	0	1.67807190511264	0	0	0	0	0	0	0	0	0	0.0426443374084937	0.16349873228288	0.111031312388744	0	0	0.137503523749935	0.070389327891398	0	0	0.321928094887362	0	0.0426443374084937	0.0426443374084937	0	0	0	0.0565835283663675	0.111031312388744	0	0.0426443374084937	0	0.0565835283663675	0.214124805352847	0	0.27500704749987	0.0976107966264223	0.941106310946431	0.831877241191673	0.823749360308273	1.88752527074159	0	0.070389327891398	0	0	0.0285691521967709	0	0	0	0	0	0	0	0
"CD244"	0	2.78450398292957	0.176322772640463	0.839959587489532	0	1.43829285157915	1.71369581484336	2.6915341649192	3.69041709553247	0.37851162325373	0.176322772640463	0.321928094887362	0.903038270112912	0.422233000683048	0.963474123974886	4.37920505996061	2.78450398292957	3.0496307677246	3.86591881455221	4.4276061727819	4.97865326490861	1.43295940727611	0.495695162624069	1.67807190511264	1.08406426478847	0.464668267003444	1.06350294230616	0.75702324650746	1.05658352836637	0.722466024471091	0.895302621333307	0.53605290024021	0.333423733725192	1.76553474636298	0.55581615506164	0.782408564927373	0.298658315564515	1.15055967657538	1.56071495447448	1.80322703643493	1.34482849699744	1.95233356636969	0.941106310946431	1.16349873228288	3.86789646399265	0	0.823749360308273	0	1.41142624572647	1.13093086982645	0.659924558402378	1.52606881166759	1.94110631094643	1.32192809488736	0	1.25701061820602	0	0.925999418556223	0.505890929729957	0	0	1.29865831556452	0.432959407276106	0.22650852980868	0.75702324650746	0.400537929583729	0	0	2.05311133645956	2.52356195605701	1.59931779369823	2.02147972741045	2.04264433740849	0	0	3.39917109381982	2.90689059560852	1.98550043030488	0.831877241191673	0.432959407276106	0.263034405833794	0.485426827170242	0.807354922057604	0.678071905112638	0.432959407276106	0.565597175854225	1.22032995487956	0.704871964456353	1.05658352836637	0.422233000683048	0.782408564927373	0.37851162325373	0.604071323668861	0.516015147003665	0.7311832415722	0.6959938131099	0.565597175854225	0.6959938131099	0.918386234446348	0.713695814843359	0.650764559116902	0.070389327891398	0.622930350920177	0.918386234446348	0.443606651475615	0.748461233004036	1.03562390973072	1.15704371014558	2.29572302453997	3.0071955014042	1.32192809488736	0.613531652917927	0.22650852980868	0.389566811762726	0.124328135002202	0.545968369105292	0.150559676575381	0.464668267003444	0.367371065648529	0.432959407276106	0.111031312388744	0.356143810225275	0.722466024471091	0.475084882948783
"C1QC"	6.00517539133194	5.41142624572646	6.73525137578642	6.43379405875492	9.35620985005169	5.62702310555406	5.16269343221124	4.27947129564447	7.45647762935182	6.0092127868052	6.12598165385472	5.66192057913509	7.46882765523095	5.77425995143276	6.99424027986904	9.49065034924802	8.30469355747101	7.38775886906104	10.7228160678013	6.77636722957392	8.86232740051799	7.92736316466358	7.11259588801209	7.88037942204959	7.33592624092836	7.54504168346746	7.24431625989121	6.95501050521529	7.61640181004049	7.44269473387882	6.94661390541276	8.05539090473479	7.42181237761791	9.04529552209999	8.06156020910797	6.45285896471381	6.29278174922785	7.16309613843601	8.21033041353789	8.64335115812472	7.13175409098481	7.42231711058197	7.26781666929339	7.9706236144706	6.47183776242229	6.63720448190229	5.75568877685271	6.54859075054854	6.58811494938808	7.44402096899975	6.96486066424585	5.25436728144083	6.30669970727279	6.49040967946001	7.26613062113785	6.01769925269303	6.63241364113755	5.9986468390058	6.13422093976063	5.61735726159132	4.31831684133498	7.30578816681099	7.41447383643093	6.84649331596456	6.80567939272007	6.73335434061383	6.53465305587746	6.71121955689433	9.07855113009052	7.8710427502062	8.17946128758103	5.38543103719352	6.79129314859221	7.08097737415892	8.29806256771902	6.97303720562177	10.5662633850586	6.05093696522523	6.98720715597523	6.85760783608573	6.95617284417672	7.36203147289583	6.69460165335612	7.51435900688911	7.6202931499486	7.53861575916786	6.55550942708326	6.49968646445849	7.65549494602162	4.75060650483559	5.77925972037238	5.38956681176273	6.67933934190341	7.09876903815488	6.38093719492782	5.36911745859982	6.99808264712465	5.38474058729238	7.54635431251224	5.63894266890881	7.40981519582048	6.16148463864166	5.78502736223547	6.90773192235259	6.13586316536868	5.13955135239879	7.05495697886014	7.20818557661766	6.50477927077394	6.63618957152566	6.60866141798756	6.07980475463526	5.85424505422013	6.02502879449152	6.58270652678079	6.78437310843037	5.15583017155653	7.32597997939444	5.9692426044345	5.88947354253111	5.96878197383005	5.82578562746479	6.06263982828646	6.52450253744916
