GeneSymbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
AUH	NA	NA	29.2460689878496	23.3815367773594	1	13.5707180051828	NA	1	NA	NA	1	40.5694726765415	1	NA	1	17.7101855079994	NA	NA	31.9277144345361	29.1865165727776	1	38.1261592418558
AUP1	NA	NA	68.1353764961292	NA	NA	72.3357903760184	418.401482292051	161.397891025148	NA	NA	NA	NA	NA	95.0177759291428	155.336976002091	72.7559413123004	199.734752696946	1	84.0861481466869	NA	NA	NA
AURKA	NA	0	NA	NA	0	NA	NA	NA	0	NA	0	NA	0	30.7574028863902	107.279511204725	NA	NA	97.9046778996005	NA	0	0	NA
AURKAIP1	NA	NA	NA	NA	NA	55.1746600466353	1	1	NA	NA	NA	175.653601033253	NA	99.5030379823961	122.867369650521	74.9454259845997	1	NA	NA	NA	1	NA
AURKAPS1	6.6901792857212	NA	4.06278889258421	6.92846975549503	0	3.9683986126293	NA	6.41488599718763	0	NA	3.08127583338926	0	0	2.20337328142256	0	2.92628186446502	0	NA	3.50046529347375	2.59908643818375	67.1511112823281	NA
AURKB	0	NA	0	NA	0	NA	99.7255625732386	NA	NA	0	0	NA	0	26.2231143680875	59.6646695964969	0	NA	NA	NA	0	0	NA
AURKC	NA	1	2.71969802004498	3.97951805867488	NA	1.70831953453147	NA	NA	NA	NA	NA	NA	NA	2.05017500167181	NA	1.79676674581412	NA	1	1	NA	NA	NA
AUTS2	105.500434040727	NA	27.7368481604122	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	21.3080752024501	NA	NA	NA	NA	33.7231441024646	35.0315437618023	NA	0
AVEN	1	1	14.1198706933379	NA	1	6.48188037688322	NA	1	1	NA	1	25.6681107493383	NA	8.63140716694997	19.3210434615619	12.4781248300001	NA	NA	NA	1	NA	27.3431959660811
AVIL	13.0949885906091	NA	4.79733385812376	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4.777883288165	NA	3.97289445945957	NA	NA	NA	NA	NA	NA
AVL9	NA	NA	NA	NA	NA	37.3753460863847	215.936143383509	90.0375953482676	NA	NA	0	NA	NA	33.0052896022665	NA	21.3289018585379	100.69797247068	NA	31.4042398805206	NA	0	NA
AVP	1	1	0.848586482907631	0.943538995393394	1	0.914388705951048	1	1	1	1	2.29065755064421	3.49727236790654	1.63234673220696	0.99145709808372	0.992498542591115	1.12719234479126	1	1	1.001659431637	0.98228432975666	1	1
AVPI1	0	0	NA	0	NA	NA	NA	0	0	0	115.412369501029	277.064706051857	44.6720773029444	0	0	20.3985042056249	0	NA	NA	NA	NA	142.895453166322
AVPR1A	NA	0	0	NA	NA	3.38263785443834	0	0	0	0	16.2039900592838	32.5564325024297	NA	0	0	5.11913727535567	0	NA	0	3.65001820408926	NA	32.1893654533362
AVPR1B	0.920913018440273	0.872207661520859	1.01522134570225	1.03324961655352	1	1.05727314477561	0.890129513615987	1.03213042699688	0.79091459947888	1.09836910263586	0.919907794111654	0.996566868777632	0.991490673057881	1.05762191696631	0.942166156363763	0.995948032648486	1.01324243661214	0.899654024377826	0.995124633906937	0.982282190816914	1	0.997124830104975
AVPR2	0	0	1.74404469012648	NA	NA	0.701598633601031	0	0	0	0	20.3942599915759	29.742729568727	5.19970692789915	0	0	3.0702876951363	0	0	0	NA	NA	15.7585698401498
AWAT1	2.84326016289109	1	1	1	NA	1.11513231044901	NA	NA	NA	1	1	NA	1	0.77913473652601	NA	NA	NA	NA	NA	NA	NA	1
AWAT2	NA	NA	NA	NA	NA	0.42269820668973	NA	NA	0	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.749230791995078
AXIN1	45.6318014718395	NA	NA	21.8351872728123	NA	15.8997476091878	0	43.7300234521702	NA	0	NA	0	NA	33.1910836489219	38.4025268242943	16.3127379058903	63.1696585191972	NA	25.3918992301738	NA	0	NA
AXIN2	22.4964554282488	NA	11.4865868070696	NA	NA	6.33142883659227	0	0	NA	0	NA	NA	15.7440199905908	NA	0	7.0906672320346	0	0	8.4619252429196	NA	NA	NA
AXL	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	NA	NA	NA	57.5108204556796	1	1	NA	1	NA	NA
AZGP1	NA	NA	5660.83077427827	0	NA	0	0	NA	NA	NA	18360.2211339471	0	NA	NA	0	NA	NA	0	5602.22476075315	NA	NA	0
AZI1	20.3420374517222	NA	NA	9.89874909303369	NA	7.72909824832039	0	18.6108382306279	NA	0	NA	NA	NA	10.2879001445782	9.50944310555084	4.06570822465452	0	NA	NA	NA	0	NA
AZI2	NA	NA	26.4052719616857	NA	NA	23.6035129121971	NA	1	NA	NA	NA	114.902961937875	NA	NA	NA	37.3269477166158	NA	NA	31.6263568573073	1	1	109.882823705965
AZIN1	NA	NA	NA	NA	0	127.432520573722	NA	NA	NA	NA	NA	NA	NA	130.411566025606	151.538480149553	74.5698049786113	NA	NA	105.885054471715	NA	NA	NA
AZU1	2.82174594734513	NA	0.992301128246567	1.58300723276239	NA	0.835219208973885	0	4.46980489826735	NA	NA	0.228990798907819	0	2.44902534611687	0.880875476860113	0	1.23387030465983	NA	NA	NA	0.161382414037107	0	0
B2M	NA	19697.4123265188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14582.7044873918	2774.76962534669	NA	NA	NA	NA	59330.9476589043	NA
B3GALNT1	33.8816427026088	NA	20.8294721050379	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	34.3814650072091	NA	NA	119.852779720087	NA	NA	NA	0
B3GALNT2	NA	NA	NA	NA	0	22.0790920289258	NA	86.3807359301469	NA	NA	NA	0	NA	24.5294171666722	32.6610652893499	12.2909917131851	NA	57.4067977852151	40.6038788155824	NA	NA	NA
B3GALT1	NA	1	7.74884597732743	5.09532756443712	1	1	1	1	1	1	1	1	1	1	1	1.11665950390177	1	1	1	NA	NA	1
B3GALT2	1	1	1.55444053123137	1.9120554284816	1	1.2080300996279	1	1	1	2.05574944717573	1	1.92082919211018	0.734428116392987	0.900959371528184	0.886707940280225	1.19503436971159	1	1.80449164445125	1.23462943363519	1.02691610818843	1	1.36727362922683
B3GALT4	1	NA	NA	NA	NA	11.6123220154925	NA	NA	NA	NA	NA	NA	1	11.968551818129	NA	10.3094734171214	NA	1	10.8914218496444	1	NA	1
B3GALT5	NA	NA	NA	NA	NA	NA	NA	NA	NA	191.687907127886	0	0	NA	NA	0	0	NA	NA	NA	NA	0	0
B3GALT6	27.6401910710814	1	10.9903467865866	13.4279832525782	NA	8.00356640630332	1	NA	1	NA	NA	1	NA	15.2109865967051	NA	10.9072589968178	36.8539071024778	NA	NA	NA	1	NA
B3GALTL	1	1	11.3699401268716	8.11047130307917	NA	2.97967257884976	1	NA	NA	NA	NA	1	1	5.24678960061074	NA	7.00091411931256	NA	NA	4.48687658119834	6.89450704555758	1	NA
B3GAT1	0	NA	5.10049554861468	6.32164008486274	NA	NA	0	0	NA	0	0	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
B3GAT2	1	1	1.22760280017188	2.05745988408411	1	1	NA	1	1	1	1	2.07792653328109	1	1.61408097624443	2.04099282324452	1.07627850694648	1	1	1.06517034102938	1	1	1
B3GAT3	41.1284213294922	NA	19.5496119748283	NA	NA	NA	NA	NA	231.449128351699	NA	NA	0	NA	47.9432152930972	61.2677762822767	24.1405331318714	NA	NA	NA	NA	0	0
B3GNT1	NA	NA	23.3141500536251	NA	NA	NA	1	NA	1	NA	NA	53.0584943650397	NA	NA	1	21.638940472699	NA	NA	NA	NA	1	NA
