"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"HKB0065_3006_T"	5.41733563937401e-15	5.41733563937401e-15	0.143206590173064	0.0279874475442719	5.41733563937401e-15	0.0623618423599215	0.494691328660704	0.0182454903994371	0.0399242044916224
"HKB0067_3006_T"	0.145405937829076	0.229267774779434	0.102718181262634	0.0937990740536398	7.1207846548278e-15	0.0500224723817939	0.00197046474445961	0.0587168485058506	0.141884306510674
"HKB0069_3000_T"	0.163989410793167	0.069848801071413	0.322047919931841	0.0189528316544581	6.68984703295614e-15	0.05551398429871	0.131885491147251	0.065110077698114	0.0390406527303199
"HKB0070_3002_T"	0.0666722690545811	0.147253673811084	0.0989138116078082	0.0914285047604718	8.11065409366915e-15	8.11065409366915e-15	0.000204169570406415	0.0273829987452325	0.146893358253446
"HKB0074_3000_T"	0.448965077317895	1.85021688006796e-06	0.064940854842361	0.0164465457839864	0.0543215543292123	0.0577205415386868	0.0153640728310992	0.033970896364221	0.149317215443224
"HKB0078_3000_T"	8.1528472655646e-15	0.00931113115521964	0.00571828379173542	0.00751380078460816	8.1528472655646e-15	0.111760391669138	8.1528472655646e-15	0.115381665775392	0.0598631006241218
"HKB0079_3006_T"	0.086477438138922	0.0717498680503787	0.310875905025745	0.0263018851848792	6.14793699495135e-15	0.0604780574740395	0.194807415539226	6.14793699495135e-15	0.0118633956829373
"HKB0080_3006_T"	7.73916084569172e-15	0.0623132412571858	0.00325163840138516	1.69525858902868e-08	7.73916084569172e-15	0.018462342054084	7.73916084569172e-15	0.113498975157102	0.120872347814866
"HKB0082_3006_T"	0.0487025061159912	8.01841726277382e-08	0.375730642830468	0.0058780492119633	6.0399801832162e-15	0.0377948095557641	0.288059471470424	0.0166593374589857	0.00353769462581935
"HKB0084_3000_T"	6.70291971984171e-15	6.70291971984171e-15	0.276057331368088	0.0072252702077798	6.70291971984171e-15	0.126118866424897	0.294056020978387	0.0701970854489681	0.00115619609239378
"HKB0086_3006_T"	0.0228917046489647	0.15755790355438	9.07640350340249e-13	0.118500238876094	8.49494011564318e-15	0.179221423523905	8.49494011564318e-15	0.164292666130385	0.156529505110105
"HKB0088_3000_T"	0.0554312592815589	0.103024538436451	0.15923916592346	0.0452001278547401	8.56709140406592e-15	0.181456382868565	8.56709140406592e-15	0.0924019301103084	0.210190809061143
"HKB0089_3001_T"	0.0614428587704678	0.333394492102779	0.149447653858386	0.000750833053287916	7.14880263909471e-15	0.0906625217816594	0.0126966245548284	0.0354324013001197	0.0257574785528823
"HKB0091_3001_T"	0.0452163869075912	0.0360822920960961	0.321354703582619	0.0333151948872523	5.17840950912278e-15	0.0539805287904514	0.359880597914814	5.17840950912278e-15	0.0329265207000975
"HKB0092_3000_T"	7.64174902158042e-15	7.64174902158042e-15	0.0224262813429519	7.64174902158042e-15	7.64174902158042e-15	0.0911265013928155	0.154717987349383	0.149826550725529	0.132416494136229
"HKB0094_3006_T"	0.133284078705361	8.80216217729859e-15	0.0854379604544633	8.80216217729859e-15	8.80216217729859e-15	8.80216217729859e-15	0.000380105466630617	0.08868021936728	0.103047602117253
"HKB0096_3001_T"	6.35920704766816e-15	0.0160088839657819	6.35920704766816e-15	0.00129764036872563	6.35920704766816e-15	6.35920704766816e-15	6.35920704766816e-15	6.35920704766816e-15	0.0448933702330553
"HKB0097_3000_T"	0.0123731797690892	9.35360649746095e-15	0.00632339904246606	9.35360649746095e-15	0.000397397971206483	0.0119255518111781	0.0207277937546133	0.00285005894099928	0.0229169943251747
"HKB0098_3005_T"	0.119694877099296	0.0835070836460548	0.295593468118495	0.00523537514407497	7.70727995408738e-15	0.146031978352926	7.70727995408738e-15	0.0636250497685892	0.0768883937344095
"HKB0100_3006_T"	4.35175175070364e-15	0.0103285598943091	0.0267599137858436	4.35175175070364e-15	4.35175175070364e-15	0.05201537619701	0.000308457243131908	4.35175175070364e-15	0.0637778206829243
"HKB0101_3000_T"	0.0854173504796997	0.0738690832167806	0.0407401734582073	1.03254949843942e-14	1.03254949843942e-14	0.266387668919578	0.019308193505241	0.121788117961456	0.0923327262737144
"HKB0102_3006_T"	0.0104178949585245	0.284647014970336	0.00862913540018392	0.0368789939013128	9.8331715315617e-15	0.0866690305103638	0.00382806877729177	0.0764404535626912	0.107252985821752
"HKB0104_3006_T"	4.5778084452819e-15	0.00594729259558052	4.5778084452819e-15	4.5778084452819e-15	4.5778084452819e-15	4.5778084452819e-15	4.5778084452819e-15	0.0795909525124322	0.0523164610228554
"HKB0106_3006_T"	8.05395523194799e-15	8.05395523194799e-15	8.05395523194799e-15	8.05395523194799e-15	8.05395523194799e-15	0.0223808863958746	0.0774610961553426	0.0289444152619794	0.0186176425085082
"HKB0108_3000_T"	5.70867923244868e-15	5.70867923244868e-15	0.00488291711999111	5.70867923244868e-15	5.70867923244868e-15	5.70867923244868e-15	6.85659565946197e-05	5.57325342538559e-07	0.101522496782327
"HKB0109_3006_T"	8.30544114930602e-15	0.0175104609177249	0.0582314397101674	8.30544114930602e-15	8.30544114930602e-15	8.30544114930602e-15	0.00512959631157161	0.0485262163337773	0.0161357673404525
"HKB0115_3006_T"	0.0638406787094236	9.56149099572557e-15	0.0531290759029056	9.56149099572557e-15	9.56149099572557e-15	0.0471472664514076	0.0286076557835292	0.0770508257473085	0.042994428512796
"HKB0120_3000_T"	0.216647714540325	0.167627505084553	0.0572405800866529	0.200882900972992	0.153448261709603	0.118932640744771	0.0211549061402841	0.0307300685887662	0.0265240398509532
