"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"HKB0120_3000_T"	0.0948527103943249	0.213225558732161	0.103366658172929	0.0775502443438228	0.018152759866933	0.00569419774981927	0.0221546665077069
"HKB0121_3006_T"	0.0921465108679008	0.0859613147896597	0.0270193255066177	1.20946620432615e-14	0.00114968222607671	1.20946620432615e-14	0.0206174830407357
"HKB0123_3006_T"	0.00220575575266202	1.30555674445748e-14	0.0451867083463239	1.30555674445748e-14	0.0608587494439364	1.30555674445748e-14	6.72091388755355e-12
"HKB0124_3003_T"	0.00477211710093799	0.0104836953404368	0.0217367346125763	0.0096538924428179	1.7138765952303e-14	0.0737914118943914	0.0301467912406742
"HKB0125_3006_T"	9.62356786305055e-15	9.62356786305055e-15	9.62356786305055e-15	9.62356786305055e-15	0.0519747098862375	0.0962224808156299	0.0303482485828046
"HKB0127_3006_T"	0.0519217813814758	0.308915169755483	1.43972053836188e-14	1.43972053836188e-14	0.0119231927802521	1.43972053836188e-14	0.0312806105599995
"HKB0129_3000_T"	0.103704394700413	0.312037918563107	0.0320626785437277	0.100865198753506	0.0550060380799402	0.0966398021872735	0.0399224070928963
"HKB0132_3006_T"	0.0427187870213096	0.123727017212082	0.0166349067939133	1.10654954331896e-14	0.043361811430294	0.0107583134470439	0.20957295933838
"HKB0134_3006_T"	0.190487369978862	0.128645093200666	0.0640218778342399	1.05570604750233e-14	0.0718464944768101	0.0549438759888056	1.05570604750233e-14
"HKB0137_3002_T"	0.204930127535366	0.0496813393188437	0.00681070433120036	1.0887302019911e-14	0.0258838885631204	0.0660787365213567	0.0404900863970465
"HKB0141_3006_T"	0.00451073272354004	0.0520592863371324	0.0871620624234712	1.71343489141108e-14	0.0762113507645941	0.0469304884926112	1.71343489141108e-14
"HKB0143_3006_T"	0.13963532181164	0.120720029916471	0.127517320843458	1.31887868159757e-14	1.31887868159757e-14	0.00437210008138214	0.0163540458095977
"HKB0147_3000_T"	1.19428517080814e-14	0.0032811876973407	0.0867201383955967	1.19428517080814e-14	0.10443972445642	0.0322792299778987	0.00804091971440482
"HKB0150_3006_T"	8.31724221662611e-15	0.00525891551669096	8.31724221662611e-15	8.31724221662611e-15	0.00208212506974931	0.0249736707812877	8.31724221662611e-15
"HKB0155_3000_T"	0.0545747206780569	0.234951952362856	0.0680824641800934	0.0219249415779625	0.0317038357654464	0.028179812919691	0.0334902462785996
"HKB0157_3006_T"	0.0227991586154269	0.0904339049971285	0.0102945822692294	1.23043678974863e-14	0.0992680962242284	0.0197570535914194	0.0871711736397811
"HKB0158_3006_T"	0.0295657644062934	0.068408409723671	0.241734512081493	0.00200429829332554	0.0358013864313078	0.0960390794642885	0.0291246697023369
"HKB0159_3006_T"	0.0225074606557499	0.000525013093739633	0.0458740352268257	0.00638080685237643	0.0392115772923075	0.220773980181933	0.020517898945943
"HKB0160_3000_T"	1.09326114546258e-14	1.09326114546258e-14	0.16189408854207	0.231467379183873	0.0529682223150632	0.00148152089072883	0.070764104593753
"HKB0161_3001_T"	3.63220522144619e-08	0.172914466755733	0.009631778740844	0.0281682066214035	0.11251595436926	0.078427433766483	0.146521467419392
"HKB0162_3006_T"	0.101474647090079	0.243488938034487	0.0160335887941177	1.24620351868465e-14	0.0146851298252466	0.0459278316665516	0.101290379634659
"HKB0164_3006_T"	1.88351303267809e-05	0.0337954502168137	0.0373554098049468	0.0114278782393797	0.116008810677342	0.186976363453371	0.0186337650892115
"HKB0167_3006_T"	0.375477744532229	0.247871588280359	0.0295391709181923	7.7316346706795e-15	0.0121511662944096	0.0624456526727331	7.7316346706795e-15
"HKB0168_3006_T"	1.9496844756378e-14	0.115504300517062	0.0268373128033439	1.9496844756378e-14	0.0141835131095857	0.0644161270230725	0.0466328693893664
"HKB0179_3006_T"	0.0398644318550217	0.0569974662388564	0.0099839415142044	1.50356923426722e-14	0.114154094093925	0.229124221251775	1.50356923426722e-14
"HKB0182_3006_T"	0.00473654314813348	0.0410796045535314	0.00154628153124348	1.40778041764912e-14	0.0414684317720217	0.113505348293374	0.0298658397005003
"HKB0186_3000_T"	0.0724221715043633	0.307686569425193	0.00230646063232914	0.0795858102463682	0.0614849268527591	0.0463431344713964	0.030511772679956
"HKB0191_3001_T"	0.0425206829137146	0.103244860537373	0.00504984202073373	0.006521874475378	0.117325544954101	0.103093703022247	1.60899381601074e-10
"HKB0194_3006_T"	0.210962304711194	0.234563229330773	9.34356534391639e-15	9.34356534391639e-15	0.00101173258581065	0.0423986855196678	0.00753896044838438
"HKB0196_3006_T"	1.35444948018809e-14	0.00616694715766562	0.0656805023066817	0.00231672015417832	0.00841095189150607	0.186783307484232	0.0284591170758014
"HKB0207_3001_T"	0.129550575264575	0.252264544327044	5.30308147079669e-09	0.109221715110689	0.0773546525233016	0.0263474643229976	0.0296998270637295
"HKB0208_3006_T"	0.0322874865963497	0.0670773311171403	0.0747985348955889	0.000779276519917686	0.0241389613678894	0.177426977732301	1.42934845598065e-14
"HKB0209_3004_T"	0.0499346999953095	0.00948082112288822	0.0769999908954235	1.12249252042324e-14	0.162657668752234	0.0704534287579466	0.0404419365466967
"HKB0210_3006_T"	0.0234216951610789	8.04606899640494e-15	0.112639180928605	2.61578129530815e-08	0.305704807424332	0.152220309671007	0.0213387695029408
