"ID"	"S01"	"S02"	"S03"
"HKB0222_3006_T"	0.156043720928004	0.0355662729152027	0.125266494983628
"HKB0225_3001_T"	0.189871949024365	1.10289987430268e-14	0.0735329867190145
"HKB0226_3001_T"	0.171439680577434	1.41631835350393e-14	0.14276612490295
"HKB0227_3006_T"	0.0554760808141254	1.34713419151579e-14	0.121660823248109
"HKB0228_3002_T"	0.0689681568981405	1.54603933636212e-14	0.0919050183264002
"HKB0230_3006_T"	0.293753953238465	1.4317880003948e-14	0.111165893911486
"HKB0232_3000_T"	1.09175413835926e-14	1.09175413835926e-14	0.145152860063876
"HKB0233_3006_T"	0.0848663919652804	6.61459235438574e-15	0.0122459674656957
"HKB0540_3000_T"	1.43380973659915e-14	1.43380973659915e-14	0.119137305261275
"HKB0552_3000_T"	0.0578189378988783	0.345354597216545	0.0666589139077166
"HKB0558_3000_T"	1.93624207932426e-14	0.0933884395739265	0.260075162529908
"HKB0564_3000_T"	0.118125678933732	0.0897872343514848	0.203102694526389
"HKB0573_3000_T"	0.209401853565949	0.0869480857931625	0.520216652641933
"HKB0576_3000_T"	0.139203396190752	1.03054506371162e-14	0.676533620896667
"HKB0579_3000_T"	0.300322327552957	0.00137203903980734	0.589357996844657
"HKB0585_3000_T"	0.110174066778336	0.0263721366010638	0.038805093461627
"HKB0599_3000_T"	0.199642063521248	1.14892672910347e-14	0.258115372091967
"HKB0605_3000_T"	0.188230978947762	0.0611200866842544	0.323005462298666
"HKB0620_3000_T"	1.69134486230832e-14	0.105661618740292	0.235946150097975
"HKB0626_3000_T"	1.13756662439653e-14	3.83203339408438e-08	0.0848812694640196
"HKB0629_3000_T"	0.169527813545166	0.0231475595377604	0.010039038252146
"HKB0638_3000_T"	1.23282916744048e-14	1.23282916744048e-14	0.255182690191842
"HKB0644_3000_T"	1.17855064387419e-14	1.17855064387419e-14	0.0605198430401198
"HKB0650_3000_T"	0.112704404298065	7.69014612678444e-15	0.107439230640478
"HKB0653_3000_T"	0.165719065480676	1.37391795065602e-14	0.175193455508028
"HKB0656_3000_T"	0.0279357793304901	0.0217725627352276	0.191087798843342
"HKB0659_3000_T"	0.0196368320729399	9.08588389702294e-15	0.662815297197904
"HKB0665_3000_T"	1.4647985407521e-14	1.4647985407521e-14	0.352949122303643
"HKB0668_3000_T"	0.115331885706996	0.0687280183951482	0.186996888952481
"HKB0674_3000_T"	0.0435758946730578	9.95106126732841e-15	0.782338470926926
"HKB0677_3000_T"	0.162453486375166	0.0114917997787129	0.29324847622667
"HKB0683_3000_T"	1.46859457200313e-13	0.0246200199225531	0.32380121888271
"HKB0692_3000_T"	1.0685549418273e-14	0.165634537151298	0.0599843765572339
"HKB0698_3000_T"	0.288866840403688	0.00361354879932411	0.392931100341468
"HKB0701_3000_T"	1.35954203299841e-14	1.35954203299841e-14	0.620267288932815
"HKB0704_3000_T"	0.167553509177687	1.05137331219325e-14	0.0756475427934816
"HKB0710_3000_T"	1.10908912929343e-14	1.10908912929343e-14	0.518460797004674
"HKB0713_3000_T"	0.09222598913088	1.32967008204996e-14	0.0448174947284504
"HKB0718_3000_T"	1.29924350870566e-14	1.29924350870566e-14	0.604744159957101
"HKB0719_3002_T"	0.135316078054873	0.240960664346478	0.157909224587276
"HKB0721_3000_T"	0.241749217637174	1.04811608098673e-14	0.159987537192283
"HKB0722_3002_T"	1.42679359878519e-14	1.42679359878519e-14	0.220168491098127
"HKB0726_3000_T"	0.0766360862811687	1.51602948578777e-14	0.11938938921784
"HKB0734_3000_T"	0.0561742849038492	0.0267757747632565	0.155513131997295
"HKB0736_3000_T"	1.64086164241796e-10	0.0291217084546903	0.670453160296833
"HKB0737_3000_T"	0.102038162110244	0.0736178059889526	0.581952090908993
"HKB0744_3000_T"	1.48864324351768e-14	0.00367567605674696	0.238013384124841
"HKB0748_3000_T"	1.66723758417133e-14	1.66723758417133e-14	0.309522149926331
"HKB0750_3000_T"	1.10449366458679e-14	1.10449366458679e-14	0.0659115741337103
"HKB0751_3000_T"	0.3687725910627	0.0806952792728632	0.403189746695123
"HKB0752_3000_T"	0.113992718526449	1.07506399661847e-14	0.465243230642679
"HKB0004_3000_N"	0.0619236557564868	0.470530388848956	0.0806937630018964
"HKB0005_3000_N"	0.236146563586069	0.247542033919511	0.2062104543302
"HKB0006_3000_N"	0.232548196177696	0.416697864048321	1.13980407641824e-14
"HKB0019_3000_N"	0.17294307295842	0.664252776835036	0.0492125236965277
"HKB0023_3000_N"	0.02924720210123	0.722835900790852	0.0744771438492329
"HKB0033_3000_N"	0.167385414862936	0.612279944540764	0.0971775242783532
"HKB0035_3000_N"	0.158087953710728	0.296843366632723	0.0116582836796729
"HKB0036_3000_N"	0.236976346394487	0.351679437894441	0.0760289365324675
"HKB0038_3000_N"	0.169188577836347	0.40559113518258	0.150106319450443
"HKB0040_3000_N"	0.0614511101250115	0.628362434386847	0.100536817850806
"HKB0044_3000_N"	0.0733791457712177	0.347679721306548	1.50306502043676e-14
"HKB0049_3000_N"	8.62062341579977e-15	0.74249004771545	0.205698863942595
"HKB0050_3000_N"	0.0874271084377027	0.700746978721701	0.0011272316081117
"HKB0052_3004_N"	0.0412218274004887	0.780979772233617	0.126092660865654
"HKB0064_3000_N"	1.01559432297372e-14	0.72908456926367	1.01559432297372e-14
"HKB0067_3000_N"	1.10440817268811e-14	0.65930388142559	0.212543688639984
"HKB0074_3003_N"	0.123304628680045	0.701366035762906	0.0582447437808857
"HKB0079_3000_N"	0.228772585576056	0.33020155621535	1.10971376817797e-14
"HKB0094_3000_N"	0.0356640128621258	0.758344614371838	0.00460174730351177
"HKB0096_3000_N"	0.00613651297508213	0.779410051522934	6.68498475532809e-05
"HKB0097_3004_N"	0.129476890480438	0.66020641323598	0.125601499656348
"HKB0098_3000_N"	8.11572267722938e-15	0.829177687364036	0.117235908055279
"HKB0102_3000_N"	1.37480302967374e-14	0.681942676382677	0.0834102736949873
"HKB0106_3000_N"	0.0253034629648798	0.898925646016113	0.0339658743033654
"HKB0109_3000_N"	0.0749731496391	0.551262967547255	0.209781601599666
"HKB0115_3000_N"	1.03854048594714e-14	0.801032818232594	0.0973315261776267
"HKB0120_3002_N"	0.0833006685499143	0.441394278879734	1.39195836252588e-06
"HKB0121_3000_N"	8.13510501274912e-15	0.940795016863411	0.0235162247756568
"HKB0122_3002_N"	0.0126968156146541	0.682252261909864	1.24607767140758e-14
"HKB0123_3000_N"	8.41718422368848e-15	0.894082749776048	1.9029551358075e-10
"HKB0124_3000_N"	8.7811783029925e-15	0.820749533009729	0.0463864506284109
"HKB0127_3000_N"	0.0770647532501058	0.242568282252535	0.0170483802381733
"HKB0129_3002_N"	0.243669163104389	0.610942179399233	0.0695489321312516
"HKB0132_3000_N"	8.82845157932572e-15	0.670531241334461	0.156935270896592
"HKB0133_3000_N"	0.100241282386884	0.656818552706482	0.132782021925589
"HKB0134_3000_N"	0.0677513543436279	0.0347426904020177	1.37848340504559e-14
"HKB0137_3000_N"	0.212269465546544	0.603674775102673	1.08018751860128e-14
"HKB0141_3000_N"	0.28580835851751	0.0902763392946693	1.17522198035752e-14
"HKB0143_3000_N"	0.0859675988530414	0.733828101031733	3.11833524665403e-11
"HKB0149_3000_N"	0.0640728052435909	0.600924258689053	0.0405972772585759
"HKB0150_3000_N"	0.0706299920875948	0.547227456583528	0.0264093162093022
"HKB0155_3003_N"	9.70148156675159e-15	0.666347093775738	0.0514748082811903
"HKB0157_3000_N"	9.41559724674946e-15	0.858611393017027	0.109824484575872
"HKB0158_3000_N"	0.161574941247647	0.673059597697714	0.0535119114439899
"HKB0159_3000_N"	0.331136511228423	0.478250650535761	6.57405303980921e-12
"HKB0160_3001_N"	6.1824851380932e-11	0.828568183912814	0.109777703398894
