"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"HKB0038_3006_T"	7.34817779311192e-15	0.0687619341552373	0.0784846315382971	0.0891695780830765	7.34817779311192e-15	0.303634693795035	0.114007450022667	0.0481040504557423	0.0726297170333972
"HKB0040_3002_T"	0.378939088180765	0.00013396462490611	0.343973424015472	0.0510157037960621	4.10215349763664e-15	0.0143614359512817	0.149872418855087	0.00988171789291743	0.00425489852046086
"HKB0044_3006_T"	0.0255361014000854	0.0415369976707903	0.315495089287979	5.86170304012772e-15	5.86170304012772e-15	0.0201963204086797	0.259519293819797	0.000202024455865668	0.0469837615595835
"HKB0049_3006_T"	0.0579819752629152	0.147852502919475	0.0491629619359225	0.222505146256845	0.0337650048614252	0.232025628319815	0.0152931214127639	0.0682868433674296	0.093642192292161
"HKB0050_3005_T"	0.15804121162415	7.49045429557388e-15	0.291630541829161	7.49045429557388e-15	7.49045429557388e-15	0.00562227389906464	7.49045429557388e-15	0.0186516187623971	0.073967622092748
"HKB0052_3000_T"	0.200302792663439	0.0649630260182411	0.0457280242579426	1.08204501972075e-14	0.0777859819043827	0.131773055511761	1.08204501972075e-14	0.0443596808338051	0.160706163624346
"HKB0054_3000_T"	0.357291596202414	0.108138298977989	0.172689242487264	0.0536149089559435	0.00309496319285142	0.0511745373443496	0.0264686169836203	0.0356777790899533	0.0790691443645458
"HKB0056_3002_T"	5.56845523291552e-15	5.56845523291552e-15	0.237149485022915	0.0595866672601687	5.56845523291552e-15	0.0369775657462116	0.358798898637789	0.0860717133112783	0.0210330050159842
"HKB0064_3004_T"	0.0988135980975036	0.329211307868052	0.035904283979642	0.327187712939495	5.86660195663833e-15	0.00773444097328544	5.86660195663833e-15	0.0351062267258735	0.114789868600366
"HKB0065_3006_T"	5.41733563937401e-15	5.41733563937401e-15	0.143206590173064	0.0279874475442719	5.41733563937401e-15	0.0623618423599215	0.494691328660704	0.0182454903994371	0.0399242044916224
"HKB0067_3006_T"	0.145405937829076	0.229267774779434	0.102718181262635	0.0937990740536398	7.1207846548278e-15	0.0500224723817939	0.00197046474445961	0.0587168485058506	0.141884306510675
"HKB0069_3000_T"	0.163989410793167	0.069848801071413	0.322047919931841	0.0189528316544581	6.68984703295614e-15	0.05551398429871	0.131885491147251	0.065110077698114	0.0390406527303199
"HKB0070_3002_T"	0.0666722690545811	0.147253673811084	0.0989138116078082	0.0914285047604718	8.11065409366915e-15	8.11065409366915e-15	0.000204169570406415	0.0273829987452325	0.146893358253446
"HKB0074_3000_T"	0.448965056754269	1.95666252351073e-06	0.0649408361402175	0.0164465140158153	0.0543215556781902	0.0577205333612197	0.0153640824042958	0.0339708920691985	0.149317191828752
"HKB0078_3000_T"	8.15284726556459e-15	0.00931113115521963	0.00571828379173542	0.00751380078460816	8.15284726556459e-15	0.111760391669138	8.15284726556459e-15	0.115381665775392	0.0598631006241218
"HKB0079_3006_T"	0.086477438138922	0.0717498680503787	0.310875905025745	0.0263018851848792	6.14793699495135e-15	0.0604780574740395	0.194807415539226	6.14793699495135e-15	0.0118633956829373
"HKB0080_3006_T"	7.73916082765578e-15	0.0623132453962195	0.0032516397304531	1.09559599065474e-08	7.73916082765578e-15	0.0184623445594494	7.73916082765578e-15	0.113498974414324	0.120872347021848
"HKB0082_3006_T"	0.0487025064802026	9.5072935836979e-08	0.375730637286448	0.0058780428801437	6.03998016566079e-15	0.0377948093722297	0.288059471442677	0.0166593375640098	0.00353769439918202
"HKB0084_3000_T"	6.70292046633986e-15	6.70292046633986e-15	0.276057613685538	0.0072250462742195	6.70292046633986e-15	0.126118381272692	0.294056716362236	0.0701968352440298	0.00115536828789428
"HKB0086_3006_T"	0.022891704648855	0.157557903555721	8.95367973448852e-13	0.118500238876059	8.49494011564842e-15	0.179221423524271	8.49494011564842e-15	0.164292666131205	0.15652950511126
"HKB0088_3000_T"	0.0554312592815589	0.103024538436451	0.15923916592346	0.0452001278547402	8.56709140406592e-15	0.181456382868565	8.56709140406592e-15	0.0924019301103084	0.210190809061143
"HKB0089_3001_T"	0.061442803048641	0.333394006727567	0.149447031829223	0.00075220137111599	7.14880523140986e-15	0.0906624371401863	0.0126961289626986	0.0354325079876534	0.025757499872541
"HKB0091_3001_T"	0.0452163869075912	0.0360822920960949	0.321354703582621	0.0333151948872519	5.17840950912278e-15	0.0539805287904517	0.359880597914815	5.17840950912278e-15	0.0329265207000968
"HKB0092_3000_T"	7.64174902158042e-15	7.64174902158042e-15	0.0224262813429519	7.64174902158042e-15	7.64174902158042e-15	0.0911265013928155	0.154717987349383	0.149826550725529	0.132416494136229
"HKB0094_3006_T"	0.133284078705361	8.80216217729859e-15	0.0854379604544633	8.80216217729859e-15	8.80216217729859e-15	8.80216217729859e-15	0.000380105466630617	0.08868021936728	0.103047602117253
"HKB0096_3001_T"	6.35920704766816e-15	0.0160088839657819	6.35920704766816e-15	0.00129764036872563	6.35920704766816e-15	6.35920704766816e-15	6.35920704766816e-15	6.35920704766816e-15	0.0448933702330553
"HKB0097_3000_T"	0.012373267596847	9.35362191105149e-15	0.00632392687444267	9.35362191105149e-15	0.00039753521242916	0.0119259327998236	0.0207282223776659	0.0028501452917017	0.0229189228450287
