"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"HKB0160_3000_T"	1.30272884552935e-14	3.74335518318161e-13	0.370981066825115	2.16636078824246e-06	1.30272884552935e-14
"HKB0161_3001_T"	0.114731917478555	0.0910911711015669	0.275907028762154	0.218506268367063	0.0850653346414164
"HKB0162_3006_T"	0.201752372221581	0.0816015620361263	1.42995800828817e-14	0.0812229724657471	0.486445061211245
"HKB0164_3006_T"	0.0378221976211736	0.0131919556802647	0.0495153745544597	0.226664763139879	0.365393823899648
"HKB0167_3006_T"	0.403767859260713	0.0536242354940712	6.31335906202287e-15	0.044192978671945	0.39970323460011
"HKB0168_3006_T"	0.284097580145969	0.0310817024112813	0.00842606452946395	0.178338545390153	0.142629351983958
"HKB0179_3006_T"	0.00544124676367208	0.0880697459818266	2.06182453773525e-14	0.151398656093537	0.202732727548593
"HKB0182_3006_T"	0.298004913429781	0.0406115818749793	1.24960307975534e-14	0.0617734013141211	0.0966756691073796
"HKB0186_3000_T"	0.353593686003008	0.136831746224538	0.140474801455012	0.0192605194865948	0.24028787049426
"HKB0191_3001_T"	0.0433185367636474	0.00139321725443836	0.00897864467967429	0.119437752855784	0.32993680910679
"HKB0194_3006_T"	0.348465613519396	0.056575905995772	2.16838447907893e-10	0.0527621376384898	0.423504564750977
"HKB0196_3006_T"	1.17326928300423e-14	0.294543490452429	1.17326928300423e-14	0.148248936310078	0.0154182410111928
"HKB0207_3001_T"	0.126935172490295	1.15836211142102e-05	0.39653470880422	0.0818676403008129	0.281851388547482
"HKB0208_3006_T"	5.16499870235398e-08	0.0875652067258904	0.00743883192795521	0.262443262440451	0.182937930401393
"HKB0209_3004_T"	1.0808710640361e-14	0.281616047901131	1.0808710640361e-14	0.0905732040760101	0.06884028151237
"HKB0210_3006_T"	0.0237841906122587	0.337626534031165	0.0437136607256802	0.0900290426993494	4.24467466411887e-12
"HKB0211_3002_T"	4.9987239008365e-12	0.171572675201125	0.00314166064743288	0.138433108188292	0.204395489032012
"HKB0214_3006_T"	0.371219448161144	0.0694035140244007	1.03785273850777e-14	0.0367199033052251	0.262359913420275
