"BC_HKB0112_933_T"	"BC_HKB0199_1263_T"	"BC_HKB0543_1306_T"	"BC_HKB0662_1294_T"	"BC_HKB0728_1447_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB0899_M1605_T"	"BC_HKB0921_1575_T"	"BC_HKB1385_1721_T"	"BC_HKB2113_1657_T"	"HKB0016_3006_T"	"HKB0035_3006_T"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0132_3006_T"	"HKB0155_3000_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0719_3002_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0751_3000_T"	"BC_HKB0022_649_T"	"HKB0008_3006_T"	"HKB0033_3006_T"	"HKB0064_3004_T"	"HKB0067_3006_T"	"HKB0070_3002_T"	"HKB0089_3001_T"	"HKB0120_3000_T"	"HKB0137_3002_T"	"HKB0143_3006_T"	"HKB0164_3006_T"	"HKB0179_3006_T"	"HKB0191_3001_T"	"HKB0209_3004_T"	"HKB0222_3006_T"	"HKB0227_3006_T"	"HKB0576_3000_T"	"HKB0599_3000_T"	"HKB0722_3002_T"	"BC_HKB0882_1555_T"	"BC_HKB2116_1671_T"	"HKB0007_3005_T"	"HKB0036_3006_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0121_3006_T"	"HKB0134_3006_T"	"HKB0710_3000_T"	"HKB0718_3000_T"
"NCR3"	0	0	1.83187724119167	0	0	0	0	1.14404636961671	0	2.11769504266975	1.07724299893246	0	2.22342254993494	0.422233000683048	0.495695162624069	2.68032435684402	1.34482849699744	0.565597175854225	1.22032995487956	1.41683974191283	0.298658315564515	0.422233000683048	1.01435529297707	0.650764559116902	1.13093086982645	0.799087306074004	0.722466024471091	1.26303440583379	1.23878685958712	0.895302621333307	0.992768430768924	1.09085343045111	1.08406426478847	0.422233000683048	0.722466024471091	1.02147972741045	2.40053792958373	0.6959938131099	1.51096191927738	0.765534746362977	1.02856915219677	0	0.454175893185802	0.070389327891398	0	0.475084882948783	0.124328135002202	0.37851162325373	0.545968369105292	0.286881147788162	0.575312330687437	0.20163386116965	0.22650852980868	0.321928094887362	0.0840642647884745	0.124328135002202	0.516015147003665	0.367371065648529	0	0	0	0	0.214124805352847	0.214124805352847	0.565597175854225	0.516015147003665	0.411426245726465	0.37851162325373	0.790772037862	0.855989697308481	0.565597175854225	0.464668267003444	1.11103131238874	0.545968369105292	0.863938450423971
"PTPRCAP"	5.42155994490182	5.46368784220126	7.26847182291237	4.24107745817504	5.58044701959866	5.88093036107688	4.82273014794452	5.37121034345557	6.80889983925777	8.27826359181454	5.39780296186249	6.60762622084549	4.21179097625254	3.87872534148011	4.58916423669977	7.13576058101617	5.42088657497553	3.9136075118231	5.7292808460274	5.55243855525354	4.93168305705981	5.03694284479826	4.57712666130705	4.24184018356467	4.42155994490182	4.23878685958712	4.77663042305105	6.01814452894376	5.56193705962243	5.40837220357268	4.5298209465287	5.467605550083	4.96439863220318	4.20633064787105	5.1243281350022	5.79856900355688	6.71740225068988	3.63226821549951	6.8626993409766	4.17232749165762	5.61470984411521	4.45022149589718	3.52857131887076	2.94860084749336	2.52857131887076	3.56437816856506	2.83187724119167	4.0686708106651	4.27127625917593	4.13914201914569	4.28688114778816	3.04788732939655	3.04788732939655	4.11519974938544	2.96347412397489	2.08746284125034	3.30451104180995	3.03386345186628	2.77610398807316	3.44360665147561	4.34978987024187	3.92029330021101	4.4235781709818	2.89530262133331	5.01569380710515	3.77082904603249	4.17712050284652	4.75274859140713	5.34518344718767	4.57349571549561	5.04220656012069	4.13668357769724	4.4262647547021	5.02591469875079	4.55826763405574
"EOMES"	2.46466826700344	0.970853654340484	2.79493566280354	0	0	1.65992455840238	1.64616265715789	1.48542682717024	0.887525270741587	3.34624777408278	2.90110824301451	3.23572705983806	0.7311832415722	1.39506279951758	1.44360665147561	3.75702324650746	2.43028527297778	1.59931779369823	2.27500704749987	1.92219784839637	2.09423606984577	1.68706068833989	1.36737106564853	1.48542682717024	1.94110631094643	0.925999418556223	1.62293035092018	2.32768736417605	1.82374936030827	2.07724299893246	1.56071495447448	2.24488705912353	1.61353165291793	2.40871186102943	1.92219784839637	1.87578006306849	3.58255600301406	1.33342373372519	4.31831684133498	1.39506279951758	2.57773093149008	0	1.13750352374994	0.823749360308273	0.807354922057604	0.918386234446348	0.55581615506164	1.02856915219677	1.13093086982645	1.38956681176273	1.22650852980868	0.84799690655495	0.941106310946431	1.31034012061215	1.09761079662642	1.15055967657538	0.584962500721156	0.863938450423971	1.13750352374994	1.29278174922785	1.59454854955035	0.918386234446348	0.956056652412403	0.422233000683048	1.51096191927738	0.895302621333307	1.10433665981474	1.51601514700366	1.62293035092018	1.67807190511264	1.57531233068744	1.06350294230616	1.29278174922785	1.97085365434048	2.02856915219677
"SIRPG"	1.39506279951758	0	2.47508488294878	0	0	0	1.44890095114513	2.27202318906105	2.64616265715789	3.59693514238723	1.11769504266975	0	0	1.46466826700344	1.42223300068305	3.81762325751143	2.10433665981474	0.925999418556223	2.23572705983806	1.78659636189081	1.56559717585423	1.88752527074159	1.09761079662642	1.11103131238874	1.75274859140713	0.739848102699327	1.35049724708413	3.02502879449152	1.98185265328974	2.22650852980868	1.36737106564853	1.87970576628229	2.17632277264046	1.72246602447109	1.87578006306849	2.28392177230762	3.51727569320958	1	4.12267271882414	1.23878685958712	2.09761079662642	1.10433665981474	0.659924558402378	0.485426827170242	0.286881147788162	0.704871964456353	0.505890929729957	0.941106310946431	1.42223300068305	1.29865831556452	0.704871964456353	0.641546029087524	1.01435529297707	1.31034012061215	1.29865831556452	0.495695162624069	0.704871964456353	0.565597175854225	0.815575428862573	0.831877241191673	1.96347412397489	2.114367024952	1.41142624572647	0.495695162624069	2.07724299893246	1.08406426478847	1.09761079662642	1.71369581484336	2.27500704749987	1.66902676550963	2.05658352836637	0.807354922057604	1.44890095114513	2.35614381022528	1.76977173924945
"TRAT1"	2.61353165291793	1.4276061727819	3.34056226902641	2.71808758396052	0.903038270112912	1.71369581484336	1.53106949272595	2.45154083301783	0	1.27500704749987	2.22342254993494	2.05311133645956	0.925999418556223	1.04264433740849	1.85996954822103	4.60584986719498	2.74631276642546	2.15055967657538	2.92409988564074	2.13750352374994	2.94485844580754	2.33913738491959	1.52105073690096	1.76977173924945	2.83592407425437	1.79493566280354	1.87184364850932	3.15055967657538	2.90689059560852	2.56803210477128	1.88752527074159	2.81966818349646	2.91456452349394	2.62293035092018	2.21412480535285	3.07210580048042	3.55090066464752	1.51601514700366	4.8444860877578	1.0071955014042	3.1811025507538	2.23572705983806	1.55581615506164	0.678071905112638	0.84799690655495	1.29278174922785	0.575312330687437	1.41683974191283	1.66448284036468	1.48542682717024	1.71808758396052	0.704871964456353	0.790772037862	1.4594316186373	0.432959407276106	1.06350294230616	0.807354922057604	1.25701061820602	0.863938450423971	1.13750352374994	0	0	1.33913738491959	0.722466024471091	1.65992455840238	1.51096191927738	1.28688114778816	2.0703893278914	2.03210084316702	1.26303440583379	1.59454854955035	1.14404636961671	1.61823865559545	2.27798474729977	2.25096157353322
"PDCD1"	1.31614574229336	4.7273759385949	4.22342254993494	0.84799690655495	2.26603689399532	3.98367769469807	3.58496250072116	2.77399632511117	3.8972404255748	4.64846544302731	1.37851162325373	4.19927972133662	2.84398384404833	1.0703893278914	1.79493566280354	3.77820857639809	2.83187724119167	1.29278174922785	2.46727948045998	2.48800077083407	1.71369581484336	1.76977173924945	2.19534759832222	1.15704371014558	1.46466826700344	1.37851162325373	1.90303827011291	3.37016428054021	1.54596836910529	2.09423606984577	1.46466826700344	2.06350294230616	1.62760683812965	1.11103131238874	1.89917563048051	2.50080205305716	3.69376571221778	0.704871964456353	4.02856915219677	1.09085343045111	2.67581593117227	2.75915583380027	1.4541758931858	0.485426827170242	0.632268215499513	1.18269229751619	0.526068811667588	0.985500430304885	1.4276061727819	1.64154602908752	1.09085343045111	0.443606651475615	1.56559717585423	0.941106310946431	0.855989697308481	0.321928094887362	0.650764559116902	0.594548549550354	1.03562390973072	0.604071323668861	1.58496250072116	2.63923216324928	1.70043971814109	0.863938450423971	2.8499992594661	1.44890095114513	1.26303440583379	2.16027483140859	2.25701061820602	2.06350294230616	2.29572302453997	1.14404636961671	1.73552217729654	2.85996954822103	1.81147103052984
"UBASH3A"	0	0	2.70265754339091	0.7311832415722	1.89141918684608	2.45680614923047	1.77399632511117	1.09761079662642	4.37573453858316	4.19849415363908	1.02856915219677	3.19377174339668	0	1.16349873228288	1.27500704749987	3.43562859405209	2.03210084316702	1.43295940727611	2.32192809488736	1.62293035092018	1.63691458035588	1.60880924267552	1.0496307677246	1.22650852980868	1.55581615506164	0.925999418556223	1.31614574229336	2.63923216324928	1.74416109557041	1.91456452349394	1.33342373372519	1.92599941855622	1.83995958748953	1.40053792958373	1.77399632511117	1.70487196445635	3.1906148602095	0.622930350920177	3.73226919950145	1.31614574229336	2.15380533607904	0	1.08406426478847	0.584962500721156	0.739848102699327	0.985500430304885	0.815575428862573	1.43829285157915	1.27500704749987	1.11103131238874	1.37851162325373	0.432959407276106	1.0496307677246	0.887525270741587	0.748461233004036	0.422233000683048	0.526068811667588	0.722466024471091	0.75702324650746	0.641546029087524	0	0.895302621333307	1.10433665981474	0.516015147003665	1.81557542886257	0.748461233004036	1.17632277264046	1.77399632511117	1.80322703643493	1.25701061820602	1.08406426478847	0.948600847493356	1.28095631383106	1.97452931248388	1.49569516262407
"LILRA4"	2.01435529297707	0.831877241191673	2.74200621086674	1.36737106564853	1.37851162325373	2.17312743348066	1.85199883711245	2.35049724708413	3.53356334821451	2.55581615506164	0	1.48026512205446	0	2.27798474729977	1.05658352836637	3.99457972421575	1.66448284036468	1.61353165291793	2.44360665147561	2.47508488294878	1.28095631383106	1.67355642399014	1.65992455840238	1.4594316186373	1.50589092972996	0.839959587489532	0.985500430304885	1.89530262133331	1.59454854955035	2.30451104180995	1.56559717585423	1.41683974191283	2.58736499093646	1.15704371014558	1.95977015521147	2.13093086982645	3.23572705983806	0.75702324650746	2.74200621086674	1.33913738491959	1.27500704749987	1.82374936030827	1.38956681176273	1.34482849699744	0.356143810225275	0.855989697308481	0.124328135002202	3.47118746038699	1.84398384404833	1.53106949272595	1.02856915219677	0.895302621333307	1.51096191927738	1.52606881166759	1.01435529297707	1.09085343045111	0.641546029087524	0.6959938131099	0.941106310946431	1.71808758396052	1.4276061727819	0	1.32192809488736	0.594548549550354	1.71369581484336	0.53605290024021	0.75702324650746	1.32768736417605	1.30451104180995	0.321928094887362	1.29865831556452	1.21412480535285	0.464668267003444	0.956056652412403	1.16992500144231
"KLRK1"	3.94860084749336	2.9560566524124	5.30888505741176	3.08065766334523	3.41278152533848	4.21179097625254	4.10181813422741	3.0496307677246	4.59036248846375	5.54936113292434	4.22419466397043	4.31903981556254	1.4905701304462	2.25398926623079	2.23572705983806	5.52950864107431	3.66902676550963	2.90689059560852	3.79493566280354	2.93734439215023	3.52857131887076	3.01613970265525	2.22342254993494	2.45154083301783	3.51727569320958	2.31324585178756	2.68257329734758	4.58496250072116	3.27500704749987	3.32768736417605	3.02856915219677	3.43162295971329	4.05658352836637	3.55949181320504	3.38404980679516	4.0574502721839	4.9546616208379	2.56315813040281	6.10768786931437	2.86591881455221	4.45746296464855	2.66448284036468	2.02856915219677	1.70929063572336	1.58014548442338	1.6959938131099	1.82374936030827	2.44360665147561	2.41142624572647	1.78240856492737	2.15704371014558	1.57531233068744	2.08746284125034	2.52606881166759	1.42223300068305	1.9297909977186	1.04264433740849	1.76977173924945	1.90303827011291	2.44360665147561	2.48800077083407	1.15055967657538	2.22958792274065	1.26303440583379	3.30742852519225	1.96347412397489	1.91838623444635	2.95419631038688	3.16027483140859	2.47248777146274	3.08915913191124	1.6915341649192	2.6507645591169	4.26528685756517	3.54473265593262
"SLAMF6"	1.98913900736823	1.73984810269933	4.94204525991605	2.17951105027151	1.60407132366886	4.33842441478356	5.03562390973072	3.10433665981474	1.30451104180995	3.77082904603249	2.32192809488736	4.50589092972996	2.41413553298445	2.13750352374994	2.03210084316702	5.60318122901386	3.13257684267001	2.82578562746479	4.03121873061072	2.94485844580754	3.71149490665009	3.06522762277562	2.58496250072116	2.37295209791183	3.4944156103975	2.38681094647222	2.9126498648972	4.4944156103975	3.11103131238874	2.89336221076387	2.611172380044	3.14241343787374	3.11103131238874	2.64846544302731	2.93922657772821	4.16912328147676	4.22496636500027	1.97085365434048	5.94063660720115	2.114367024952	3.68481873755322	2.114367024952	1.67807190511264	1.33342373372519	2.29278174922785	1.6507645591169	0.887525270741587	2.15055967657538	2.36457243229586	2.23572705983806	1.98913900736823	1.09761079662642	1.59454854955035	1.93357263826102	1.41683974191283	1.42223300068305	1.07724299893246	1.53605290024021	1.20163386116965	1.76553474636298	3.09929520433778	2.48542682717024	2.28688114778816	1.15055967657538	2.55826763405574	2.22958792274065	1.77399632511117	3.36036427654347	3.02147972741045	2.58736499093646	2.91073266190291	1.71808758396052	2.90110824301451	3.18745105402733	2.73984810269933
