"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"HKB0097_3004_N"	"HKB0097_3004_N"	"CE6"	3.41730818957109e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0098_3000_N"	"HKB0098_3000_N"	"CE6"	7.07870700591679e-06	3.98824711796775e-05	TRUE	"CE6"
"HKB0102_3000_N"	"HKB0102_3000_N"	"CE6"	1.1021889273653e-06	1.27533230606607e-05	TRUE	"CE6"
"HKB0106_3000_N"	"HKB0106_3000_N"	"CE6"	5.18503452728532e-05	0.00015555103581856	TRUE	"CE6"
"HKB0109_3000_N"	"HKB0109_3000_N"	"CE6"	0.000237258954519215	0.000576913878883566	TRUE	"CE6"
"HKB0115_3000_N"	"HKB0115_3000_N"	"CE6"	8.05673955280222e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0120_3002_N"	"HKB0120_3002_N"	"CE6"	0.00020290366409399	0.000503986520491523	TRUE	"CE6"
"HKB0121_3000_N"	"HKB0121_3000_N"	"CE6"	5.06340361491282e-05	0.00015555103581856	TRUE	"CE6"
"HKB0122_3002_N"	"HKB0122_3002_N"	"CE6"	1.1698812005911e-05	5.51515423135806e-05	TRUE	"CE6"
"HKB0123_3000_N"	"HKB0123_3000_N"	"CE6"	5.81759172804578e-05	0.000168900204162196	TRUE	"CE6"
"HKB0124_3000_N"	"HKB0124_3000_N"	"CE6"	4.69442814263422e-05	0.00014654228391196	TRUE	"CE6"
"HKB0129_3002_N"	"HKB0129_3002_N"	"CE6"	2.19103102753832e-06	1.9443823150201e-05	TRUE	"CE6"
"HKB0132_3000_N"	"HKB0132_3000_N"	"CE6"	5.8686760783184e-06	3.53333175525833e-05	TRUE	"CE6"
"HKB0133_3000_N"	"HKB0133_3000_N"	"CE6"	1.06310570948316e-06	1.27533230606607e-05	TRUE	"CE6"
"HKB0137_3000_N"	"HKB0137_3000_N"	"CE6"	4.45369593717863e-05	0.00014093202212168	TRUE	"CE6"
"HKB0143_3000_N"	"HKB0143_3000_N"	"CE6"	2.27804063804792e-06	1.9443823150201e-05	TRUE	"CE6"
"HKB0149_3000_N"	"HKB0149_3000_N"	"CE6"	0.00229707841596941	0.00427923479103979	TRUE	"CE6"
