"HKB0016_3006_T"	"HKB0040_3000_N"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0120_3000_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0143_3006_T"	"HKB0155_3000_T"	"HKB0162_3006_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0605_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"HKB0008_3006_T"	"HKB0064_3004_T"	"HKB0067_3000_N"	"HKB0067_3006_T"	"HKB0089_3001_T"	"HKB0109_3000_N"	"HKB0162_3000_N"	"HKB0191_3001_T"	"HKB0207_3000_N"	"HKB0211_3000_N"	"HKB0220_3003_N"	"HKB0574_3000_N"	"HKB0576_3000_T"	"HKB0577_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0648_3000_N"	"HKB0672_3000_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0007_3005_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0091_3001_T"	"HKB0134_3006_T"	"HKB0137_3002_T"	"HKB0216_3000_N"	"HKB0710_3000_T"	"HKB0718_3000_T"
"NCR3"	0.422233000683048	0.526068811667588	2.68032435684402	1.34482849699744	0.565597175854225	1.22032995487956	1.41683974191283	0.298658315564515	0.422233000683048	1.01435529297707	0.545968369105292	0.650764559116902	1.13093086982645	0.575312330687437	0.722466024471091	0.367371065648529	1.26303440583379	1.23878685958712	0.895302621333307	0.992768430768924	1.09085343045111	1.08406426478847	0.422233000683048	0.238786859587116	0.722466024471091	1.02147972741045	2.40053792958373	0.713695814843359	1.51096191927738	0.765534746362977	1.02856915219677	0.432959407276106	0.454175893185802	0	0.111031312388744	0.475084882948783	0.37851162325373	0.389566811762726	0.443606651475615	0.321928094887362	0.516015147003665	1.25701061820602	0.831877241191673	0.613531652917927	0.367371065648529	0.887525270741587	0.214124805352847	0.53605290024021	0.823749360308273	0.765534746362977	0.250961573533219	0.432959407276106	0.214124805352847	0.565597175854225	0.516015147003665	0.411426245726465	0.37851162325373	0.790772037862	0.565597175854225	1.11103131238874	0.286881147788162	0.389566811762726	0.545968369105292	0.863938450423971
"PTPRCAP"	3.87872534148011	4.30888505741176	7.13576058101617	5.42088657497553	3.9136075118231	5.7292808460274	5.55243855525354	4.93168305705981	5.03694284479826	4.57712666130705	4.27127625917593	4.24184018356467	4.42155994490182	4.28688114778816	4.77663042305105	3.62410089462811	6.01814452894376	5.56193705962243	5.40837220357268	4.5298209465287	5.467605550083	4.96439863220318	4.20633064787105	3.33485426933163	5.1243281350022	5.79856900355688	6.71740225068988	4.8011586560937	6.8626993409766	4.17232749165762	5.61470984411521	5.04483123344781	3.52857131887076	2.52857131887076	2.83592407425437	3.56437816856506	4.0686708106651	2.877744249949	2.98732086592925	4.11519974938544	2.61588707391606	4.03562390973072	3.42894634476948	3.16832111573972	3.03386345186628	3.08406426478847	2.34482849699744	2.611172380044	3.36176835941915	3.45022149589718	2.16671544496642	3.25096157353322	4.4235781709818	5.01569380710515	3.77082904603249	4.17712050284652	4.75274859140713	5.34518344718767	5.04220656012069	4.4262647547021	4.13914201914569	3.71149490665009	5.02591469875079	4.55826763405574
"EOMES"	1.39506279951758	1.16992500144231	3.75702324650746	2.43028527297778	1.59931779369823	2.27500704749987	1.92219784839637	2.09423606984577	1.68706068833989	1.36737106564853	1.13093086982645	1.48542682717024	1.94110631094643	1.22650852980868	1.62293035092018	1.43295940727611	2.32768736417605	1.82374936030827	2.07724299893246	1.56071495447448	2.24488705912353	1.61353165291793	2.40871186102943	1.15055967657538	1.92219784839637	1.87578006306849	3.58255600301406	2.59693514238723	4.31831684133498	1.39506279951758	2.57773093149008	2.33342373372519	1.13750352374994	0.807354922057604	0.659924558402378	0.918386234446348	1.02856915219677	0.6959938131099	0.956056652412403	1.31034012061215	0.613531652917927	1.09761079662642	1.10433665981474	1.32192809488736	0.863938450423971	0.839959587489532	0.790772037862	0.985500430304885	0.985500430304885	0.799087306074004	0.454175893185802	1.07724299893246	0.956056652412403	1.51096191927738	0.895302621333307	1.10433665981474	1.51601514700366	1.62293035092018	1.57531233068744	1.29278174922785	1.38956681176273	1.09085343045111	1.97085365434048	2.02856915219677
"SIRPG"	1.46466826700344	1.23878685958712	3.81762325751143	2.10433665981474	0.925999418556223	2.23572705983806	1.78659636189081	1.56559717585423	1.88752527074159	1.09761079662642	1.42223300068305	1.11103131238874	1.75274859140713	0.704871964456353	1.35049724708413	1.27500704749987	3.02502879449152	1.98185265328974	2.22650852980868	1.36737106564853	1.87970576628229	2.17632277264046	1.72246602447109	1.28095631383106	1.87578006306849	2.28392177230762	3.51727569320958	1.89530262133331	4.12267271882414	1.23878685958712	2.09761079662642	2.15704371014558	0.659924558402378	0.286881147788162	0.189033824390017	0.704871964456353	0.941106310946431	0.333423733725192	0.22650852980868	1.31034012061215	0.16349873228288	0.871843648509318	0.16349873228288	0.55581615506164	0.565597175854225	0.356143810225275	0.263034405833794	0.321928094887362	0.918386234446348	0.516015147003665	0.263034405833794	0.505890929729957	1.41142624572647	2.07724299893246	1.08406426478847	1.09761079662642	1.71369581484336	2.27500704749987	2.05658352836637	1.44890095114513	1.29865831556452	1.72246602447109	2.35614381022528	1.76977173924945
"TRAT1"	1.04264433740849	1.4905701304462	4.60584986719498	2.74631276642546	2.15055967657538	2.92409988564074	2.13750352374994	2.94485844580754	2.33913738491959	1.52105073690096	1.66448284036468	1.76977173924945	2.83592407425437	1.71808758396052	1.87184364850932	1.91073266190291	3.15055967657538	2.90689059560852	2.56803210477128	1.88752527074159	2.81966818349646	2.91456452349394	2.62293035092018	1.95233356636969	2.21412480535285	3.07210580048042	3.55090066464752	2.42492208821069	4.8444860877578	1.0071955014042	3.1811025507538	2.01435529297707	1.55581615506164	0.84799690655495	0.799087306074004	1.29278174922785	1.41683974191283	1.15055967657538	0.765534746362977	1.4594316186373	0.454175893185802	1.85199883711245	0.963474123974886	1.46988597627446	1.25701061820602	1.16349873228288	1.22032995487956	1	1.09085343045111	1.62293035092018	0.594548549550354	0.910732661902913	1.33913738491959	1.65992455840238	1.51096191927738	1.28688114778816	2.0703893278914	2.03210084316702	1.59454854955035	1.61823865559545	1.48542682717024	0.687060688339892	2.27798474729977	2.25096157353322
"PDCD1"	1.0703893278914	1.40599235967584	3.77820857639809	2.83187724119167	1.29278174922785	2.46727948045998	2.48800077083407	1.71369581484336	1.76977173924945	2.19534759832222	1.4276061727819	1.15704371014558	1.46466826700344	1.09085343045111	1.90303827011291	0.895302621333307	3.37016428054021	1.54596836910529	2.09423606984577	1.46466826700344	2.06350294230616	1.62760683812965	1.11103131238874	1.31034012061215	1.89917563048051	2.50080205305716	3.69376571221778	1.94860084749336	4.02856915219677	1.09085343045111	2.67581593117227	2.48284828306847	1.4541758931858	0.632268215499513	0.464668267003444	1.18269229751619	0.985500430304885	0.641546029087524	0.545968369105292	0.941106310946431	0.22650852980868	1.20163386116965	0.485426827170242	0.389566811762726	0.594548549550354	0.411426245726465	0.124328135002202	0.565597175854225	0.895302621333307	1.0703893278914	0.22650852980868	0.650764559116902	1.70043971814109	2.8499992594661	1.44890095114513	1.26303440583379	2.16027483140859	2.25701061820602	2.29572302453997	1.73552217729654	1.64154602908752	2.02502879449152	2.85996954822103	1.81147103052984
"UBASH3A"	1.16349873228288	1.41142624572647	3.43562859405209	2.03210084316702	1.43295940727611	2.32192809488736	1.62293035092018	1.63691458035588	1.60880924267552	1.0496307677246	1.27500704749987	1.22650852980868	1.55581615506164	1.37851162325373	1.31614574229336	1.37295209791183	2.63923216324928	1.74416109557041	1.91456452349394	1.33342373372519	1.92599941855622	1.83995958748953	1.40053792958373	0.910732661902913	1.77399632511117	1.70487196445635	3.1906148602095	1.89917563048051	3.73226919950145	1.31614574229336	2.15380533607904	1.75702324650746	1.08406426478847	0.739848102699327	0.37851162325373	0.985500430304885	1.43829285157915	0.823749360308273	0.622930350920177	0.887525270741587	0.739848102699327	0.910732661902913	0.565597175854225	0.887525270741587	0.722466024471091	0.650764559116902	0.831877241191673	0.464668267003444	0.948600847493356	0.933572638261024	0.344828496997441	0.389566811762726	1.10433665981474	1.81557542886257	0.748461233004036	1.17632277264046	1.77399632511117	1.80322703643493	1.08406426478847	1.28095631383106	1.11103131238874	1.14404636961671	1.97452931248388	1.49569516262407
"LILRA4"	2.27798474729977	0.475084882948783	3.99457972421575	1.66448284036468	1.61353165291793	2.44360665147561	2.47508488294878	1.28095631383106	1.67355642399014	1.65992455840238	1.84398384404833	1.4594316186373	1.50589092972996	1.02856915219677	0.985500430304885	2.52606881166759	1.89530262133331	1.59454854955035	2.30451104180995	1.56559717585423	1.41683974191283	2.58736499093646	1.15704371014558	1.23878685958712	1.95977015521147	2.13093086982645	3.23572705983806	0.722466024471091	2.74200621086674	1.33913738491959	1.27500704749987	2.66448284036468	1.38956681176273	0.356143810225275	0.367371065648529	0.855989697308481	3.47118746038699	0.0565835283663675	0.400537929583729	1.52606881166759	0.0565835283663675	0.748461233004036	0.678071905112638	0.356143810225275	0.6959938131099	0.321928094887362	0.150559676575381	0.176322772640463	0.863938450423971	0.411426245726465	0.464668267003444	0.263034405833794	1.32192809488736	1.71369581484336	0.53605290024021	0.75702324650746	1.32768736417605	1.30451104180995	1.29865831556452	0.464668267003444	1.53106949272595	0.333423733725192	0.956056652412403	1.16992500144231
"KLRK1"	2.25398926623079	2.98732086592925	5.52950864107431	3.66902676550963	2.90689059560852	3.79493566280354	2.93734439215023	3.52857131887076	3.01613970265525	2.22342254993494	2.41142624572647	2.45154083301783	3.51727569320958	2.15704371014558	2.68257329734758	3.29278174922785	4.58496250072116	3.27500704749987	3.32768736417605	3.02856915219677	3.43162295971329	4.05658352836637	3.55949181320504	2.61353165291793	3.38404980679516	4.0574502721839	4.9546616208379	3.73984810269933	6.10768786931437	2.86591881455221	4.45746296464855	4.11270013274936	2.02856915219677	1.58014548442338	2.88362081628567	1.6959938131099	2.44360665147561	3.16027483140859	2.84197311892718	2.52606881166759	1.89141918684608	3.84799690655495	2.57531233068744	2.9126498648972	1.76977173924945	3.674686619928	3.35895882583233	2.60880924267552	2.89917563048051	3.41953889151378	2.20789285164133	2.99819550315325	2.22958792274065	3.30742852519225	1.96347412397489	1.91838623444635	2.95419631038688	3.16027483140859	3.08915913191124	2.6507645591169	1.78240856492737	2.4276061727819	4.26528685756517	3.54473265593262
"SLAMF6"	2.13750352374994	2.44095219802964	5.60318122901386	3.13257684267001	2.82578562746479	4.03121873061072	2.94485844580754	3.71149490665009	3.06522762277562	2.58496250072116	2.36457243229586	2.37295209791183	3.4944156103975	1.98913900736823	2.9126498648972	2.53356334821451	4.4944156103975	3.11103131238874	2.89336221076387	2.611172380044	3.14241343787374	3.11103131238874	2.64846544302731	2.15704371014558	2.93922657772821	4.16912328147676	4.22496636500027	2.88166461932035	5.94063660720115	2.114367024952	3.68481873755322	3.5837597536395	1.67807190511264	2.29278174922785	1.43829285157915	1.6507645591169	2.15055967657538	1.98185265328974	0.985500430304885	1.93357263826102	1.25096157353322	2.73552217729654	1.57531233068744	1.82781902461732	1.53605290024021	1.72246602447109	1.36176835941915	1.41142624572647	2.17312743348066	1.81966818349646	1.32192809488736	1.94485844580754	2.28688114778816	2.55826763405574	2.22958792274065	1.77399632511117	3.36036427654347	3.02147972741045	2.91073266190291	2.90110824301451	2.23572705983806	2.1407786557828	3.18745105402733	2.73984810269933
"P2RY10"	1.41142624572647	1.54596836910529	4.82273014794452	2.93168305705981	2.11103131238874	3.50716034911752	2.70265754339091	2.65535182861255	2.15380533607904	2.4541758931858	2.59454854955035	2.24792751344359	2.41142624572647	1.84799690655495	2.11103131238874	2.46988597627446	5.75194568161502	3.29572302453997	2.79493566280354	2.71149490665009	3.38266725274504	3.49825086752783	2.88362081628567	1.67807190511264	2.63923216324928	4.01167453338092	4.05311133645956	2.64385618977472	4.47443604325227	1.71369581484336	3.38818953715608	2.52356195605701	2.21412480535285	0.839959587489532	0.669026765509631	1.70043971814109	1.30451104180995	0.963474123974886	1.82374936030827	1.4594316186373	0.713695814843359	1.72246602447109	1.13093086982645	1.11769504266975	0.887525270741587	0.956056652412403	1.01435529297707	1.02147972741045	1.83995958748953	1.99276843076892	0.7311832415722	0.613531652917927	2.29278174922785	2.78450398292957	2.114367024952	1.49569516262407	2.44095219802964	2.75274859140713	2.16349873228288	1.81557542886257	1.83592407425437	1.68257329734758	3.03210084316702	2.82984955984469
"TIGIT"	2.08746284125034	1.50080205305716	4.88655014732434	3.52606881166759	1.91456452349394	3.55213110825378	3.01435529297707	2.70487196445635	2.98732086592925	2.22342254993494	2.5033487351675	2.0036022366802	2.29278174922785	2.17951105027151	2.18269229751619	2.38404980679516	4.69209237542757	3.17951105027151	3.19219416528334	2.68257329734758	3.44625622988956	3.49825086752783	2.41683974191283	2.3305584000308	2.78450398292957	3.93357263826102	4.41278152533848	3.27500704749987	5.19337751056436	1.97085365434048	3.74738739965272	3.12101540096137	2.09085343045111	1.16992500144231	0.613531652917927	1.85199883711245	1.42223300068305	0.7311832415722	1.20789285164133	1.75702324650746	0.933572638261024	1.85598969730848	1.1243281350022	1.31614574229336	1.1243281350022	0.748461233004036	1.11769504266975	0.84799690655495	1.0703893278914	1.74846123300404	0.831877241191673	1.03562390973072	2.12101540096137	2.95046841415012	2.35614381022528	1.62293035092018	2.790772037862	3.23266075679027	2.92789645372882	2.55826763405574	2.19219416528334	2.89141918684608	3.90303827011291	2.58014548442338
